#license: "https://creativecommons.org/publicdomain/zero/1.0/"
#mapping_tool: "https://github.com/cmungall/rdf_matcher"
#mapping_date: "2021-04-20"
#curie_map:
#  BFO: "http://purl.obolibrary.org/obo/BFO_"
#  CHEBI: "http://purl.obolibrary.org/obo/CHEBI_"
#  ECTO: "http://purl.obolibrary.org/obo/ECTO_"
#  ENVO: "http://purl.obolibrary.org/obo/ENVO_"
#  FOODON: "http://purl.obolibrary.org/obo/FOODON_"
#  GO: "http://purl.obolibrary.org/obo/GO_"
#  IAO: "http://purl.obolibrary.org/obo/IAO_"
#  MAXO: "http://purl.obolibrary.org/obo/MAXO_"
#  MRE: "http://purl.obolibrary.org/obo/MRE_"
#  NBO: "http://purl.obolibrary.org/obo/NBO_"
#  NCBITaxon: "http://purl.obolibrary.org/obo/NCBITaxon_"
#  NCIT: "http://purl.obolibrary.org/obo/NCIT_"
#  PATO: "http://purl.obolibrary.org/obo/PATO_"
#  PCO: "http://purl.obolibrary.org/obo/PCO_"
#  PECO: "http://purl.obolibrary.org/obo/PECO_"
#  RO: "http://purl.obolibrary.org/obo/RO_"
#  XCO: "http://purl.obolibrary.org/obo/XCO_"
#  ZECO: "http://purl.obolibrary.org/obo/ZECO_"
#  oio: "http://www.geneontology.org/formats/oboInOwl#"
#  owl: "http://www.w3.org/2002/07/owl#"
subject_id	subject_label	predicate_id	object_id	object_label	match_type	subject_source	object_source	mapping_tool	confidence	subject_match_field	object_match_field	subject_category	object_category	match_string	match_category	comment
CHEBI:33282		owl:equivalentClass	XCO:0000483	antibacterial agent	Lexical	CHEBI	XCO	rdf_matcher	0.5000247762775242	dc:identifier	oio:hasDbXref	none	none	CHEBI:33282	unique	.
ECTO:9001190	exposure to nitromethane	owl:equivalentClass	NCIT:C44412	Nitromethane	Lexical	ECTO	NCIT	rdf_matcher	0.5000976878582932	oio:hasExactSynonym	rdfs:label	none	none	nitromethane	unique	.
ECTO:9000514	exposure to temozolomide	owl:equivalentClass	GO:1990054	response to temozolomide	Lexical|Stemming	ECTO	GO	rdf_matcher	0.5000542943650828	rdfs:label	rdfs:label	none	none	temozolomid	unique	.
XCO:0000408	metformin	owl:equivalentClass	ECTO:9000391	exposure to metformin	Lexical|Stemming	XCO	ECTO	rdf_matcher	0.5000903613972131	rdfs:label	rdfs:label	none	none	metformin	unique	.
XCO:0000408	metformin	owl:equivalentClass	GO:1901558	response to metformin	Lexical	XCO	GO	rdf_matcher	0.5000423809497533	rdfs:label	rdfs:label	none	none	metformin	unique	.
XCO:0000408	metformin	owl:equivalentClass	CHEBI:6801		Lexical	XCO	CHEBI	rdf_matcher	0.5000869104797643	oio:hasDbXref	dc:identifier	none	CHEBI:6801	CHEBI:6801	many_to_one	.
NCIT:C44462	UV Radiation Exposure	owl:equivalentClass	XCO:0000042	ultraviolet ray exposure	Lexical	NCIT	XCO	rdf_matcher	0.5000759512565128	oio:hasExactSynonym	oio:hasExactSynonym	none	none	uv radiation exposure	unique	.
ECTO:9000308	exposure to fatty acid	owl:equivalentClass	GO:0070542	response to fatty acid	Lexical|Stemming	ECTO	GO	rdf_matcher	0.5000507962981621	oio:hasExactSynonym	rdfs:label	none	none	fatty acid	unique	.
ECTO:9000357	exposure to risperidone	owl:equivalentClass	GO:0097336	response to risperidone	Lexical|Stemming	ECTO	GO	rdf_matcher	0.5000757925165825	oio:hasExactSynonym	rdfs:label	none	none	risperidon	unique	.
XCO:0000043	X-ray exposure	owl:equivalentClass	GO:0010165	response to X-ray	Lexical|Stemming	XCO	GO	rdf_matcher	0.5000878511511427	rdfs:label	rdfs:label	none	none	x-rai	unique	.
