Level	Rule Name	Subject	Property	Value
ERROR	duplicate_definition	H2-receptor antagonist	definition	H2-receptor antagonists are the drugs that selectively bind to but do not activate histamine H2 receptors, thereby blocking the actions of endogenous histamine.
ERROR	duplicate_definition	H2-receptor antagonist agent therapy	definition	H2-receptor antagonists are the drugs that selectively bind to but do not activate histamine H2 receptors, thereby blocking the actions of endogenous histamine.
ERROR	duplicate_definition	pharmaceutical	definition	Any substance introduced into a living organism with therapeutic or diagnostic purpose.
ERROR	duplicate_definition	pharmacotherapy	definition	Any substance introduced into a living organism with therapeutic or diagnostic purpose.
ERROR	duplicate_definition	(+)-jasmonic acid	definition	An oxo monocarboxylic acid that is (3-oxocyclopentyl)acetic acid substituted by a (2Z)-pent-2-en-1-yl group at position 2 of the cyclopentane ring.
ERROR	duplicate_definition	jasmonic acid	definition	An oxo monocarboxylic acid that is (3-oxocyclopentyl)acetic acid substituted by a (2Z)-pent-2-en-1-yl group at position 2 of the cyclopentane ring.
ERROR	duplicate_definition	vitamin K exposure	definition	An exposure to vitamin K.
ERROR	duplicate_definition	vitamin K exposure	definition	An exposure to vitamin K.
ERROR	duplicate_definition	vitamin C exposure	definition	An exposure to vitamin C.
ERROR	duplicate_definition	vitamin C exposure	definition	An exposure to vitamin C.
ERROR	duplicate_definition	verapamil exposure	definition	An exposure to verapamil.
ERROR	duplicate_definition	verapamil exposure	definition	An exposure to verapamil.
ERROR	duplicate_definition	uranium molecular entity exposure	definition	An exposure to uranium molecular entity.
ERROR	duplicate_definition	uranium molecular entity exposure	definition	An exposure to uranium molecular entity.
ERROR	duplicate_definition	triclosan exposure	definition	An exposure to triclosan.
ERROR	duplicate_definition	triclosan exposure	definition	An exposure to triclosan.
ERROR	duplicate_definition	trichloroethene exposure	definition	An exposure to trichloroethene.
ERROR	duplicate_definition	trichloroethene exposure	definition	An exposure to trichloroethene.
ERROR	duplicate_definition	toluene 2,4-diisocyanate exposure	definition	An exposure to toluene 2,4-diisocyanate.
ERROR	duplicate_definition	toluene 2,4-diisocyanate exposure	definition	An exposure to toluene 2,4-diisocyanate.
ERROR	duplicate_definition	tetrachloroethene exposure	definition	An exposure to tetrachloroethene.
ERROR	duplicate_definition	tetrachloroethene exposure	definition	An exposure to tetrachloroethene.
ERROR	duplicate_definition	tetrachloroethene exposure	definition	An exposure to tetrachloroethene.
ERROR	duplicate_definition	styrene exposure	definition	An exposure to styrene.
ERROR	duplicate_definition	styrene exposure	definition	An exposure to styrene.
ERROR	duplicate_definition	silicon dioxide exposure	definition	An exposure to silicon dioxide.
ERROR	duplicate_definition	silicon dioxide exposure	definition	An exposure to silicon dioxide.
ERROR	duplicate_definition	riboflavin exposure	definition	An exposure to riboflavin.
ERROR	duplicate_definition	riboflavin exposure	definition	An exposure to riboflavin.
ERROR	duplicate_definition	propan-2-ol exposure	definition	An exposure to propan-2-ol.
ERROR	duplicate_definition	propan-2-ol exposure	definition	An exposure to propan-2-ol.
ERROR	duplicate_definition	polychlorobiphenyl exposure	definition	An exposure to polychlorobiphenyl.
ERROR	duplicate_definition	polychlorobiphenyl exposure	definition	An exposure to polychlorobiphenyl.
ERROR	duplicate_definition	phylloquinone exposure	definition	An exposure to phylloquinone.
ERROR	duplicate_definition	phylloquinone exposure	definition	An exposure to phylloquinone.
ERROR	duplicate_definition	phosgene exposure	definition	An exposure to phosgene.
ERROR	duplicate_definition	phosgene exposure	definition	An exposure to phosgene.
ERROR	duplicate_definition	phenol exposure	definition	An exposure to phenol.
ERROR	duplicate_definition	phenol exposure	definition	An exposure to phenol.
ERROR	duplicate_definition	perfluorooctanoic acid exposure	definition	An exposure to perfluorooctanoic acid.
ERROR	duplicate_definition	perfluorooctanoic acid exposure	definition	An exposure to perfluorooctanoic acid.
ERROR	duplicate_definition	nickel molecular entity exposure	definition	An exposure to nickel molecular entity.
ERROR	duplicate_definition	nickel molecular entity exposure	definition	An exposure to nickel molecular entity.
ERROR	duplicate_definition	N,N-diethyl-m-toluamide exposure	definition	An exposure to N,N-diethyl-m-toluamide.
ERROR	duplicate_definition	N,N-diethyl-m-toluamide exposure	definition	An exposure to N,N-diethyl-m-toluamide.
ERROR	duplicate_definition	methyl tert-butyl ether exposure	definition	An exposure to methyl tert-butyl ether.
ERROR	duplicate_definition	methyl tert-butyl ether exposure	definition	An exposure to methyl tert-butyl ether.
ERROR	duplicate_definition	menaquinone exposure	definition	An exposure to menaquinone.
ERROR	duplicate_definition	menaquinone exposure	definition	An exposure to menaquinone.
ERROR	duplicate_definition	estrogen exposure	definition	An exposure to estrogen.
ERROR	duplicate_definition	estrogen exposure	definition	An exposure to estrogen.
ERROR	duplicate_definition	epichlorohydrin exposure	definition	An exposure to epichlorohydrin.
ERROR	duplicate_definition	epichlorohydrin exposure	definition	An exposure to epichlorohydrin.
ERROR	duplicate_definition	cyfluthrin exposure	definition	An exposure to cyfluthrin.
ERROR	duplicate_definition	cyfluthrin exposure	definition	An exposure to cyfluthrin.
ERROR	duplicate_definition	chromium molecular entity exposure	definition	An exposure to chromium molecular entity.
ERROR	duplicate_definition	chromium molecular entity exposure	definition	An exposure to chromium molecular entity.
ERROR	duplicate_definition	chemical entity exposure	definition	An exposure to chemical entity.
ERROR	duplicate_definition	chemical entity exposure	definition	An exposure to chemical entity.
ERROR	duplicate_definition	bromomethane exposure	definition	An exposure to bromomethane.
ERROR	duplicate_definition	bromomethane exposure	definition	An exposure to bromomethane.
ERROR	duplicate_definition	arsenic molecular entity exposure	definition	An exposure to arsenic molecular entity.
ERROR	duplicate_definition	arsenic molecular entity exposure	definition	An exposure to arsenic molecular entity.
ERROR	duplicate_definition	acetylsalicylic acid exposure	definition	An exposure to acetylsalicylic acid.
ERROR	duplicate_definition	acetylsalicylic acid exposure	definition	An exposure to acetylsalicylic acid.
ERROR	duplicate_definition	1,1-Dichloroethane exposure	definition	An exposure to 1,1-Dichloroethane.
ERROR	duplicate_definition	1,1-Dichloroethane exposure	definition	An exposure to 1,1-Dichloroethane.
ERROR	duplicate_definition	adrenergic agonist	definition	An agent that selectively binds to and activates adrenergic receptors.
ERROR	duplicate_definition	adrenergic receptor agonist	definition	An agent that selectively binds to and activates adrenergic receptors.
ERROR	duplicate_definition	has_specified_output	definition	A relation between a planned process and a continuant participating in that process. The presence of the continuant at the end of the process is explicitly specified in the objective specification which the process realizes the concretization of.@en
ERROR	duplicate_definition	is_specified_output_of	definition	A relation between a planned process and a continuant participating in that process. The presence of the continuant at the end of the process is explicitly specified in the objective specification which the process realizes the concretization of.@en
ERROR	duplicate_definition	has_specified_input	definition	A relation between a planned process and a continuant participating in that process that is not created during  the process. The presence of the continuant during the process is explicitly specified in the plan specification which the process realizes the concretization of.@en
ERROR	duplicate_definition	is_specified_input_of	definition	A relation between a planned process and a continuant participating in that process that is not created during  the process. The presence of the continuant during the process is explicitly specified in the plan specification which the process realizes the concretization of.@en
