left	left_label	right	right_label	left_match_type	right_match_type	left_match_val	right_match_val	score	left_simscore	right_simscore	reciprocal_score	conditional_pr_equiv	equiv_clique_size
http://purl.obolibrary.org/obo/ECTO_0000001	exposure to radiation	EO:0007151	radiation treatment	label	label	exposure to radiation	radiation treatment	72.24999999999999	1.0	0.6666666666666666	0	0.6666666666666667	8
http://purl.obolibrary.org/obo/ECTO_0000004	exposure to gamma radiation	EO:0001022	gamma radiation treatment	label	label	exposure to gamma radiation	gamma radiation treatment	72.24999999999999	0.6666666666666666	1.0	0	0.6666666666666667	8
http://purl.obolibrary.org/obo/ECTO_0000005	exposure to x-ray radiation	EO:0007628	X-ray	label	label	exposure to x-ray radiation	X-ray	72.24999999999999	0.6666666666666666	1.0	4	1.0	2
http://purl.obolibrary.org/obo/ECTO_0000007	exposure to visible light radiation	EO:0007221	visible light regimen	label	label	exposure to visible light radiation	visible light regimen	72.24999999999999	0.6666666666666666	1.0	4	1.0	2
http://purl.obolibrary.org/obo/ECTO_0000079	exposure to flooding	EO:0007396	flood prone region	hasExactSynonym	hasRelatedSynonym	flooding exposure	flooding	42.5	1.0	1.0	4	1.0	2
http://purl.obolibrary.org/obo/ECTO_0000122	exposure to photon	EO:0001022	gamma radiation treatment	hasRelatedSynonym	label	exposure to gamma	gamma radiation treatment	36.12499999999999	1.0	0.3333333333333333	1	0.11111111111111113	8
http://purl.obolibrary.org/obo/ECTO_0000122	exposure to photon	EO:0007151	radiation treatment	hasRelatedSynonym	hasRelatedSynonym	exposure to Light	light regimen	36.12499999999999	1.0	0.16666666666666666	0	0.11111111111111113	8
http://purl.obolibrary.org/obo/ECTO_0000122	exposure to photon	EO:0007196	light regimen	hasRelatedSynonym	label	exposure to Light	light regimen	36.12499999999999	1.0	0.25	0	0.33333333333333337	8
http://purl.obolibrary.org/obo/ECTO_0000123	exposure to ethene	EO:0007068	ethylene treatment	hasRelatedSynonym	label	exposure to ethylene	ethylene treatment	36.12499999999999	1.0	1.0	4	1.0	2
http://purl.obolibrary.org/obo/ECTO_0000124	exposure to 2-cis-abscisic acid	EO:0007105	abscisic acid treatment	hasRelatedSynonym	label	exposure to abscisic acid	abscisic acid treatment	36.12499999999999	1.0	1.0	4	1.0	2
http://purl.obolibrary.org/obo/ECTO_0000126	exposure to brassinosteroid	EO:0007409	brassinosteroid treatment	label	label	exposure to brassinosteroid	brassinosteroid treatment	72.24999999999999	1.0	1.0	4	1.0	2
http://purl.obolibrary.org/obo/ECTO_0000127	exposure to carbohydrate	EO:0001010	carbohydrate treatment	label	label	exposure to carbohydrate	carbohydrate treatment	72.24999999999999	1.0	1.0	4	1.0	2
http://purl.obolibrary.org/obo/ECTO_0000128	exposure to sucrose	EO:0001015	sucrose treatment	label	label	exposure to sucrose	sucrose treatment	72.24999999999999	1.0	1.0	4	1.0	2
http://purl.obolibrary.org/obo/ECTO_0000129	exposure to hexose	EO:0001012	hexose treatment	label	label	exposure to hexose	hexose treatment	72.24999999999999	1.0	1.0	4	1.0	2
http://purl.obolibrary.org/obo/ECTO_0000130	exposure to glucose	EO:0001013	glucose treatment	label	label	exposure to glucose	glucose treatment	72.24999999999999	1.0	1.0	4	1.0	2
http://purl.obolibrary.org/obo/ECTO_0000132	exposure to salicylic acid	EO:0007187	salicylic acid treatment	label	label	exposure to salicylic acid	salicylic acid treatment	72.24999999999999	0.6666666666666666	1.0	4	1.0	2
http://purl.obolibrary.org/obo/ECTO_0000133	exposure to jasmonic acid	EO:0007080	jasmonic acid treatment	label	label	exposure to jasmonic acid	jasmonic acid treatment	72.24999999999999	1.0	1.0	4	1.0	2
http://purl.obolibrary.org/obo/ECTO_0000137	exposure to inorganic molecular entity	EO:0001016	inorganic cation treatment	hasRelatedSynonym	label	exposure to inorganic entity	inorganic cation treatment	25.935897435897427	0.6666666666666666	0.15384615384615385	4	1.0	2
http://purl.obolibrary.org/obo/ECTO_0000139	exposure to carbon dioxide	EO:0001020	carbon dioxide treatment	label	label	exposure to carbon dioxide	carbon dioxide treatment	72.24999999999999	1.0	1.0	4	1.0	2
http://purl.obolibrary.org/obo/ECTO_0000147	exposure to nickel cation	EO:0001005	nickel treatment	label	label	exposure to nickel cation	nickel treatment	72.24999999999999	1.0	0.6666666666666666	0	0.5	4
