left	left_label	right	right_label	left_match_type	right_match_type	left_match_val	right_match_val	score	left_simscore	right_simscore	reciprocal_score	conditional_pr_equiv	equiv_clique_size
http://purl.obolibrary.org/obo/ECTO_0000001	exposure to radiation	GO:0009314	response to radiation	label	label	exposure to radiation	response to radiation	63.218749999999986	0.625	0.6666666666666666	1	0.23285811269517992	5
http://purl.obolibrary.org/obo/ECTO_0000001	exposure to radiation	GO:0050896	response to stimulus	label	label	exposure to radiation	response to stimulus	72.24999999999999	1.0	0.016203703703703703	0	0.5333333333333333	5
http://purl.obolibrary.org/obo/ECTO_0000002	exposure to electromagnetic radiation	GO:0009314	response to radiation	hasExactSynonym	hasExactSynonym	electromagnetic radiation exposure	response to electromagnetic radiation stimulus	63.476785714285704	0.8571428571428571	0.8333333333333334	0	0.5010183299389003	5
http://purl.obolibrary.org/obo/ECTO_0000003	exposure to sound radiation	GO:0010996	response to auditory stimulus	hasExactSynonym	hasExactSynonym	sound radiation exposure	response to sound stimulus	65.02499999999999	1.0	0.5	4	1.0	2
http://purl.obolibrary.org/obo/ECTO_0000004	exposure to gamma radiation	GO:0010332	response to gamma radiation	label	label	exposure to gamma radiation	response to gamma radiation	72.24999999999999	1.0	1.0	0	0.6666666666666667	4
http://purl.obolibrary.org/obo/ECTO_0000005	exposure to x-ray radiation	GO:0010165	response to X-ray	label	label	exposure to x-ray radiation	response to X-ray	72.24999999999999	1.0	1.0	4	1.0	2
http://purl.obolibrary.org/obo/ECTO_0000006	exposure to ultraviolet radiation	GO:0009411	response to UV	label	label	exposure to ultraviolet radiation	response to UV	72.24999999999999	0.6	1.0	2	0.5	3
http://purl.obolibrary.org/obo/ECTO_0000006	exposure to ultraviolet radiation	GO:0070141	response to UV-A	label	label	exposure to ultraviolet radiation	response to UV-A	72.24999999999999	0.6	1.0	0	0.5	3
http://purl.obolibrary.org/obo/ECTO_0000014	exposure to ultrasound radiation	GO:1990478	response to ultrasound	label	label	exposure to ultrasound radiation	response to ultrasound	72.24999999999999	1.0	0.5	4	1.0	2
http://purl.obolibrary.org/obo/ECTO_0000079	exposure to flooding	GO:0009413	response to flooding	label	label	exposure to flooding	response to flooding	72.24999999999999	0.16666666666666666	1.0	4	1.0	2
http://purl.obolibrary.org/obo/ECTO_0000108	exposure to drought	GO:0009414	response to water deprivation	hasExactSynonym	hasExactSynonym	drought exposure	response to drought	65.02499999999999	0.16666666666666666	1.0	4	1.0	2
http://purl.obolibrary.org/obo/ECTO_0000115	exposure to reactive oxygen species	GO:0000302	response to reactive oxygen species	label	label	exposure to reactive oxygen species	response to reactive oxygen species	72.24999999999999	1.0	0.7272727272727273	4	1.0	2
http://purl.obolibrary.org/obo/ECTO_0000116	exposure to superoxide	GO:0000303	response to superoxide	label	label	exposure to superoxide	response to superoxide	72.24999999999999	1.0	0.7142857142857143	4	1.0	2
http://purl.obolibrary.org/obo/ECTO_0000118	exposure to oxygen radical	GO:0000305	response to oxygen radical	label	label	exposure to oxygen radical	response to oxygen radical	72.24999999999999	1.0	0.7142857142857143	4	1.0	2
http://purl.obolibrary.org/obo/ECTO_0000119	exposure to amphetamine	GO:0001975	response to amphetamine	label	label	exposure to amphetamine	response to amphetamine	67.73437499999999	0.625	0.8333333333333334	0	0.4873646209386281	4
