left	left_label	right	right_label	left_match_type	right_match_type	left_match_val	right_match_val	score	left_simscore	right_simscore	reciprocal_score	conditional_pr_equiv	equiv_clique_size
http://purl.obolibrary.org/obo/ECTO_0000001	exposure to radiation	http://purl.obolibrary.org/obo/MRE_0000000	Exposure	label	label	exposure to radiation	Exposure	72.24999999999999	0.007692307692307693	1.0	2	0.30810234541577824	5
http://purl.obolibrary.org/obo/ECTO_0000001	exposure to radiation	http://purl.obolibrary.org/obo/MRE_0000065	Poisoning	label	label	exposure to radiation	Poisoning	72.24999999999999	1.0	0.5	0	0.30810234541577824	5
http://purl.obolibrary.org/obo/ECTO_0000001	exposure to radiation	http://purl.obolibrary.org/obo/MRE_0000079	Radiation exposure	hasExactSynonym	label	radiation exposure	Radiation exposure	90.0	0.5	1.0	0	0.38379530916844357	5
http://purl.obolibrary.org/obo/ECTO_0000105	exposure to water pollution	http://purl.obolibrary.org/obo/MRE_0000082	Exposure to water pollution	label	label	exposure to water pollution	Exposure to water pollution	100.0	0.5	1.0	4	1.0	2
http://purl.obolibrary.org/obo/ECTO_0000135	exposure to organic	http://purl.obolibrary.org/obo/MRE_0000128	Exposure to organic compound	label	label	exposure to organic	Exposure to organic compound	71.78757040450587	0.9193548387096774	0.9206349206349206	4	1.0	2
http://purl.obolibrary.org/obo/ECTO_0000137	exposure to inorganic molecular entity	http://purl.obolibrary.org/obo/MRE_0000173	Exposure to inorganic compound	hasRelatedSynonym	label	exposure to inorganic entity	Exposure to inorganic compound	25.00961538461538	0.23076923076923078	0.6	4	1.0	2
http://purl.obolibrary.org/obo/ECTO_0000140	exposure to metal cation	http://purl.obolibrary.org/obo/MRE_0000106	Exposure to metal	label	label	exposure to metal cation	Exposure to metal	66.78243243243242	0.24324324324324326	0.9	4	1.0	2
http://purl.obolibrary.org/obo/ECTO_0000144	exposure to manganese cation	http://purl.obolibrary.org/obo/MRE_0000117	Exposure to manganese	label	label	exposure to manganese cation	Exposure to manganese	60.208333333333314	0.6666666666666666	0.5	0	0.34040047114252053	4
http://purl.obolibrary.org/obo/ECTO_0000145	exposure to zinc cation	http://purl.obolibrary.org/obo/MRE_0000127	Exposure to zinc	label	label	exposure to zinc cation	Exposure to zinc	60.208333333333314	0.5	0.6666666666666666	0	0.34040047114252053	4
http://purl.obolibrary.org/obo/ECTO_0000149	exposure to caesium molecular entity	http://purl.obolibrary.org/obo/MRE_0000113	Exposure to cesium	hasRelatedSynonym	label	exposure to cesium compounds	Exposure to cesium	36.12499999999999	1.0	0.3333333333333333	4	1.0	2
http://purl.obolibrary.org/obo/ECTO_0000150	exposure to nitrate	http://purl.obolibrary.org/obo/MRE_0000182	Exposure to nitrate	label	label	exposure to nitrate	Exposure to nitrate	100.0	0.6666666666666666	1.0	4	1.0	2
http://purl.obolibrary.org/obo/ECTO_0000157	exposure to selenium ion	http://purl.obolibrary.org/obo/MRE_0000121	Exposure to selenium	label	label	exposure to selenium ion	Exposure to selenium	40.13888888888887	0.3333333333333333	0.3333333333333333	2	0.3758127438231469	3
http://purl.obolibrary.org/obo/ECTO_0000159	exposure to lead cation	http://purl.obolibrary.org/obo/MRE_0000116	Exposure to lead	label	label	exposure to lead cation	Exposure to lead	60.208333333333314	0.5	0.6666666666666666	0	0.34040047114252053	4
http://purl.obolibrary.org/obo/ECTO_0000174	exposure to cobalt cation	http://purl.obolibrary.org/obo/MRE_0000114	Exposure to cobalt	label	label	exposure to cobalt cation	Exposure to cobalt	64.2222222222222	0.6666666666666666	0.6666666666666666	0	0.2997925311203319	4
http://purl.obolibrary.org/obo/ECTO_0000197	exposure to genistein	http://purl.obolibrary.org/obo/MRE_0000201	Exposure to genistein	label	label	exposure to genistein	Exposure to genistein	100.0	0.75	1.0	4	1.0	2
http://purl.obolibrary.org/obo/ECTO_0000207	exposure to carbon monoxide	http://purl.obolibrary.org/obo/MRE_0000099	Carbon monoxide exposure	hasExactSynonym	label	carbon monoxide exposure	Carbon monoxide exposure	67.5	0.5	0.5	4	1.0	2
