left	left_label	right	right_label	left_match_type	right_match_type	left_match_val	right_match_val	score	left_simscore	right_simscore	reciprocal_score	conditional_pr_equiv	equiv_clique_size
http://purl.obolibrary.org/obo/ECTO_0000001	exposure to radiation	http://purl.obolibrary.org/obo/Wikidata_Q114953	poisoning	label	label	exposure to radiation	poisoning	72.24999999999999	1.0	1.0	2	0.3269230769230769	4
http://purl.obolibrary.org/obo/ECTO_0000001	exposure to radiation	http://purl.obolibrary.org/obo/Wikidata_Q35120	entity	label	label	exposure to radiation	entity	72.24999999999999	1.0	1.0	0	0.3269230769230769	4
http://purl.obolibrary.org/obo/ECTO_0000001	exposure to radiation	http://purl.obolibrary.org/obo/Wikidata_Q1190554	event	hasExactSynonym	label	radiation exposure event	event	76.5	1.0	1.0	0	0.3461538461538462	4
http://purl.obolibrary.org/obo/ECTO_0000073	exposure to volcanic eruption	http://purl.obolibrary.org/obo/Wikidata_Q7692360	volcanic eruption	label	label	exposure to volcanic eruption	volcanic eruption	72.24999999999999	1.0	1.0	4	1.0	2
http://purl.obolibrary.org/obo/ECTO_0000074	exposure to earthquake	http://purl.obolibrary.org/obo/Wikidata_Q7944	earthquake	label	label	exposure to earthquake	earthquake	85.0	1.0	1.0	4	1.0	2
http://purl.obolibrary.org/obo/ECTO_0000087	exposure to mudslide	http://purl.obolibrary.org/obo/Wikidata_Q175768	mudslide	label	label	exposure to mudslide	mudslide	85.0	1.0	1.0	4	1.0	2
http://purl.obolibrary.org/obo/ECTO_0000128	exposure to sucrose	http://purl.obolibrary.org/obo/Wikidata_Q21175321	sucrose exposure	hasExactSynonym	label	sucrose exposure	sucrose exposure	90.0	1.0	1.0	4	1.0	2
http://purl.obolibrary.org/obo/ECTO_0000139	exposure to carbon dioxide	http://purl.obolibrary.org/obo/Wikidata_Q21173362	carbon dioxide exposure	hasExactSynonym	label	carbon dioxide exposure	carbon dioxide exposure	90.0	1.0	1.0	4	1.0	2
http://purl.obolibrary.org/obo/ECTO_0000140	exposure to metal cation	http://purl.obolibrary.org/obo/Wikidata_Q4215775	metal poisoning	label	label	exposure to metal cation	metal poisoning	72.24999999999999	1.0	0.1	4	1.0	2
http://purl.obolibrary.org/obo/ECTO_0000144	exposure to manganese cation	http://purl.obolibrary.org/obo/Wikidata_Q21174827	manganese exposure	label	label	exposure to manganese cation	manganese exposure	72.24999999999999	1.0	0.3333333333333333	0	0.3642091997479521	4
http://purl.obolibrary.org/obo/ECTO_0000146	exposure to aluminium cation	http://purl.obolibrary.org/obo/Wikidata_Q21167711	aluminium exposure	label	label	exposure to aluminium cation	aluminium exposure	72.24999999999999	1.0	0.5	0	0.6666666666666667	3
http://purl.obolibrary.org/obo/ECTO_0000147	exposure to nickel cation	http://purl.obolibrary.org/obo/Wikidata_Q21174946	nickel exposure	label	label	exposure to nickel cation	nickel exposure	72.24999999999999	0.5	1.0	0	0.5	4
http://purl.obolibrary.org/obo/ECTO_0000151	exposure to ozone	http://purl.obolibrary.org/obo/Wikidata_Q21175024	ozone exposure	hasExactSynonym	label	ozone exposure	ozone exposure	90.0	1.0	1.0	4	1.0	2
http://purl.obolibrary.org/obo/ECTO_0000157	exposure to selenium ion	http://purl.obolibrary.org/obo/Wikidata_Q21175297	selenium exposure	label	label	exposure to selenium ion	selenium exposure	72.24999999999999	0.5	1.0	2	0.4453004622496147	3
http://purl.obolibrary.org/obo/ECTO_0000158	exposure to silver cation	http://purl.obolibrary.org/obo/Wikidata_Q21175303	silver exposure	label	label	exposure to silver cation	silver exposure	72.24999999999999	1.0	0.3333333333333333	0	0.5	4
http://purl.obolibrary.org/obo/ECTO_0000159	exposure to lead cation	http://purl.obolibrary.org/obo/Wikidata_Q110315	lead poisoning	label	label	exposure to lead cation	lead poisoning	72.24999999999999	0.3333333333333333	1.0	0	0.4	4
http://purl.obolibrary.org/obo/ECTO_0000161	exposure to sulfur dioxide	http://purl.obolibrary.org/obo/Wikidata_Q21175322	sulfur dioxide exposure	hasExactSynonym	label	sulfur dioxide exposure	sulfur dioxide exposure	90.0	1.0	1.0	4	1.0	2
http://purl.obolibrary.org/obo/ECTO_0000174	exposure to cobalt cation	http://purl.obolibrary.org/obo/Wikidata_Q5138720	cobalt poisoning	label	label	exposure to cobalt cation	cobalt poisoning	72.24999999999999	0.5	1.0	0	0.4	4
http://purl.obolibrary.org/obo/ECTO_0000199	exposure to methanol	http://purl.obolibrary.org/obo/Wikidata_Q21174897	methanol exposure	hasExactSynonym	label	methanol exposure	methanol exposure	90.0	1.0	1.0	4	1.0	2
