left	left_label	right	right_label	left_match_type	right_match_type	left_match_val	right_match_val	score	left_simscore	right_simscore	reciprocal_score	conditional_pr_equiv	equiv_clique_size
http://purl.obolibrary.org/obo/ECTO_0000001	exposure to radiation	XCO:0000038	radiation exposure	hasExactSynonym	label	radiation exposure	radiation exposure	90.0	1.0	0.875	4	1.0	2
http://purl.obolibrary.org/obo/ECTO_0000002	exposure to electromagnetic radiation	XCO:0000045	electromagnetic radiation exposure	hasExactSynonym	label	electromagnetic radiation exposure	electromagnetic radiation exposure	90.0	1.0	0.875	4	1.0	2
http://purl.obolibrary.org/obo/ECTO_0000004	exposure to gamma radiation	XCO:0000040	gamma ray exposure	hasExactSynonym	hasExactSynonym	gamma radiation exposure	gamma radiation exposure	90.0	1.0	1.0	0	0.7135777998017839	3
http://purl.obolibrary.org/obo/ECTO_0000005	exposure to x-ray radiation	XCO:0000043	X-ray exposure	label	label	exposure to x-ray radiation	X-ray exposure	72.24999999999999	1.0	1.0	4	1.0	2
http://purl.obolibrary.org/obo/ECTO_0000006	exposure to ultraviolet radiation	XCO:0000042	ultraviolet ray exposure	hasExactSynonym	hasExactSynonym	ultraviolet radiation exposure	UV radiation exposure	65.02499999999999	1.0	1.0	4	1.0	2
http://purl.obolibrary.org/obo/ECTO_0000007	exposure to visible light radiation	XCO:0000283	visible light stimulus	label	label	exposure to visible light radiation	visible light stimulus	72.24999999999999	1.0	1.0	4	1.0	2
http://purl.obolibrary.org/obo/ECTO_0000008	exposure to infrared radiation	XCO:0000046	infrared radiation exposure	hasExactSynonym	label	infrared radiation exposure	infrared radiation exposure	90.0	1.0	1.0	4	1.0	2
http://purl.obolibrary.org/obo/ECTO_0000121	exposure to water	XCO:0000021	water	label	label	exposure to water	water	85.0	0.5	1.0	4	1.0	2
http://purl.obolibrary.org/obo/ECTO_0000122	exposure to photon	XCO:0000040	gamma ray exposure	hasRelatedSynonym	hasExactSynonym	exposure to gamma	gamma radiation exposure	36.12499999999999	1.0	0.3333333333333333	2	0.286422200198216	3
http://purl.obolibrary.org/obo/ECTO_0000127	exposure to carbohydrate	XCO:0000172	carbohydrate	label	label	exposure to carbohydrate	carbohydrate	85.0	1.0	0.9	4	1.0	2
http://purl.obolibrary.org/obo/ECTO_0000128	exposure to sucrose	XCO:0000432	sucrose	label	label	exposure to sucrose	sucrose	85.0	1.0	1.0	4	1.0	2
http://purl.obolibrary.org/obo/ECTO_0000130	exposure to glucose	XCO:0000275	glucose	label	label	exposure to glucose	glucose	85.0	1.0	1.0	4	1.0	2
http://purl.obolibrary.org/obo/ECTO_0000131	exposure to fructose	XCO:0000428	fructose	label	label	exposure to fructose	fructose	85.0	1.0	1.0	4	1.0	2
http://purl.obolibrary.org/obo/ECTO_0000153	exposure to lithium(1+)	XCO:0000313	lithium ion	hasRelatedSynonym	hasExactSynonym	exposure to Li(+)	Li+ ion	36.12499999999999	1.0	0.5	4	1.0	2
http://purl.obolibrary.org/obo/ECTO_0000177	exposure to estradiol	XCO:0000092	17 beta-estradiol	hasExactSynonym	hasRelatedSynonym	estradiol exposure	estradiol	42.5	0.8	1.0	4	1.0	2
http://purl.obolibrary.org/obo/ECTO_0000182	exposure to progesterone	XCO:0000381	progesterone	label	label	exposure to progesterone	progesterone	85.0	1.0	1.0	4	1.0	2
http://purl.obolibrary.org/obo/ECTO_0000186	exposure to vitamin A	XCO:0000377	vitamin	label	label	exposure to vitamin A	vitamin	68.0	0.6	0.5	1	0.22347062292436143	5
http://purl.obolibrary.org/obo/ECTO_0000186	exposure to vitamin A	XCO:0000468	vitamin A	label	label	exposure to vitamin A	vitamin A	69.35999999999999	0.8	0.8	0	0.2754275427542754	5
http://purl.obolibrary.org/obo/ECTO_0000189	exposure to vitamin E	XCO:0000378	vitamin E	label	label	exposure to vitamin E	vitamin E	70.24305555555554	0.8333333333333334	0.8333333333333334	4	1.0	2
http://purl.obolibrary.org/obo/ECTO_0000193	exposure to testosterone	XCO:0000204	testosterone	label	label	exposure to testosterone	testosterone	85.0	0.8	1.0	4	1.0	2
http://purl.obolibrary.org/obo/ECTO_0000204	exposure to monosaccharide	XCO:0000274	monosaccharide	label	label	exposure to monosaccharide	monosaccharide	72.24999999999999	1.0	1.0	4	1.0	2
http://purl.obolibrary.org/obo/ECTO_0000205	exposure to disaccharide	XCO:0000431	disaccharide	label	label	exposure to disaccharide	disaccharide	85.0	1.0	1.0	4	1.0	2
http://purl.obolibrary.org/obo/ECTO_0000218	exposure to potassium(1+)	XCO:0000150	potassium ion	hasRelatedSynonym	label	exposure to potassium cation	potassium ion	36.12499999999999	0.5	1.0	4	1.0	2
http://purl.obolibrary.org/obo/ECTO_0000231	exposure to chemical entity	XCO:0000088	chemical	label	label	exposure to chemical entity	chemical	85.0	0.9831932773109243	1.0	4	1.0	2
http://purl.obolibrary.org/obo/ECTO_0000233	exposure to amino acid	XCO:0000119	amino acid	label	label	exposure to amino acid	amino acid	72.24999999999999	1.0	1.0	4	1.0	2
http://purl.obolibrary.org/obo/ECTO_0000238	exposure to peptide hormone	XCO:0000228	peptide hormone	label	label	exposure to peptide hormone	peptide hormone	72.24999999999999	1.0	1.0	4	1.0	2
http://purl.obolibrary.org/obo/ECTO_0000243	exposure to ethanol	XCO:0000323	alcohol	hasRelatedSynonym	label	exposure to alcohol	alcohol	35.859375	0.375	0.75	1	0.06870488002563474	7
http://purl.obolibrary.org/obo/ECTO_0000243	exposure to ethanol	XCO:0000070	alcoholic drink	hasExactSynonym	hasRelatedSynonym	ethanol exposure	ethanol	42.5	0.125	1.0	0	0.274442538593482	7
http://purl.obolibrary.org/obo/ECTO_0000243	exposure to ethanol	XCO:0000325	ethanol	label	label	exposure to ethanol	ethanol	76.5	0.5	0.8	0	0.4939965694682676	7
http://purl.obolibrary.org/obo/ECTO_0000258	exposure to steroid hormone	XCO:0000229	steroid hormone	label	label	exposure to steroid hormone	steroid hormone	68.8095238095238	0.6666666666666666	0.8571428571428571	4	1.0	2
