left	left_label	right	right_label	left_match_type	right_match_type	left_match_val	right_match_val	score	left_simscore	right_simscore	reciprocal_score	conditional_pr_equiv	equiv_clique_size
http://purl.obolibrary.org/obo/ECTO_0000001	exposure to radiation	http://purl.obolibrary.org/obo/ZECO_0000208	radiation	label	label	exposure to radiation	radiation	70.24305555555554	0.8333333333333334	0.8333333333333334	2	0.32710280373831774	4
http://purl.obolibrary.org/obo/ECTO_0000001	exposure to radiation	http://purl.obolibrary.org/obo/ZECO_0000100	conditions	label	label	exposure to radiation	conditions	72.24999999999999	1.0	0.75	0	0.33644859813084105	4
http://purl.obolibrary.org/obo/ECTO_0000001	exposure to radiation	http://purl.obolibrary.org/obo/ZECO_0000104	experimental conditions	label	label	exposure to radiation	experimental conditions	72.24999999999999	0.75	1.0	0	0.33644859813084105	4
http://purl.obolibrary.org/obo/ECTO_0000002	exposure to electromagnetic radiation	http://purl.obolibrary.org/obo/ZECO_0000209	electromagnetic radiation	label	label	exposure to electromagnetic radiation	electromagnetic radiation	72.24999999999999	1.0	1.0	4	1.0	2
http://purl.obolibrary.org/obo/ECTO_0000005	exposure to x-ray radiation	http://purl.obolibrary.org/obo/ZECO_0000215	x-ray	label	label	exposure to x-ray radiation	x-ray	72.24999999999999	1.0	1.0	4	1.0	2
http://purl.obolibrary.org/obo/ECTO_0000006	exposure to ultraviolet radiation	http://purl.obolibrary.org/obo/ZECO_0000214	UV	label	label	exposure to ultraviolet radiation	UV	72.24999999999999	1.0	1.0	4	1.0	2
http://purl.obolibrary.org/obo/ECTO_0000007	exposure to visible light radiation	http://purl.obolibrary.org/obo/ZECO_0000213	visible light	label	label	exposure to visible light radiation	visible light	72.24999999999999	1.0	1.0	4	1.0	2
http://purl.obolibrary.org/obo/ECTO_0000014	exposure to ultrasound radiation	http://purl.obolibrary.org/obo/ZECO_0000244	ultrasound	label	label	exposure to ultrasound radiation	ultrasound	85.0	0.75	1.0	4	1.0	2
http://purl.obolibrary.org/obo/ECTO_0000231	exposure to chemical entity	http://purl.obolibrary.org/obo/ZECO_0000111	chemical treatment	label	label	exposure to chemical entity	chemical treatment	72.24999999999999	1.0	0.5	4	1.0	2

