?curie	?label
"MRE:0000000"	"Environmental factor"
"MRE:0000001"	"Prenatal exposure"
"MRE:0000002"	"Dietary exposure"
"MRE:0000003"	"Diagnostic medical exposure"
"MRE:0000004"	"Radiological exposure"
"MRE:0000005"	"Diagnostic radiological examination"
"MRE:0000006"	"Interventional radiological procedure"
"MRE:0000007"	"Radiograph"
"MRE:0000008"	"Chest radiograph"
"MRE:0000009"	"Exposure to infectious agent"
"MRE:0000010"	"Exposure to airborne pollution"
"MRE:0000011"	"Dietary exposure to a chemical residue"
"MRE:0000012"	"Dietary aflatoxin exposure"
"MRE:0000013"	"Dietary antimony exposure"
"MRE:0000014"	"Dietary arsenic exposure"
"MRE:0000015"	"Dietary cadmium exposure"
"MRE:0000016"	"Dietary mercury exposure"
"MRE:0000017"	"Dietary exposure to food additive"
"MRE:0000018"	"Dietary exposure to low-calorie sweetener"
"MRE:0000019"	"Dietary exposure to preservative"
"MRE:0000020"	"Dietary exposure to color additive"
"MRE:0000021"	"Dietary exposure to flavor enhancer"
"MRE:0000022"	"Dietary exposure to bisphenol A"
"MRE:0000023"	"Dietary exposure to deoxynivalenol"
"MRE:0000024"	"Dietary exposure to emulsifier"
"MRE:0000025"	"Dietary exposure to monosodium glutamate"
"MRE:0000026"	"Dietary exposure to disodium guanylate"
"MRE:0000027"	"Nuclear medicine procedure"
"MRE:0000028"	"Cervical spine radiograph"
"MRE:0000029"	"Pelvis radiograph"
"MRE:0000030"	"Skull radiograph"
"MRE:0000031"	"Intravenous pyelogram"
"MRE:0000032"	"Computer tomography"
"MRE:0000033"	"Positron emission tomography scan"
"MRE:0000035"	"Passive smoking"
"MRE:0000036"	"Prenatal drug exposure"
"MRE:0000037"	
"MRE:0000038"	"Maternal cigarette use"
"MRE:0000039"	"Maternal alcohol use"
"MRE:0000040"	"Maternal marijuana use"
"MRE:0000041"	"Maternal opiate use"
"MRE:0000042"	"Maternal cocaine use"
"MRE:0000043"	"Maternal methamphetamine use"
"MRE:0000044"	"Occupational exposure"
"MRE:0000045"	"Tobacco smoking"
"MRE:0000046"	"Cigarette smoking"
"MRE:0000047"	"Cigar smoking"
"MRE:0000048"	"Tobacco pipe smoking"
"MRE:0000049"	"Occupational exposure to pesticide"
"MRE:0000050"	"Drug use"
"MRE:0000051"	"Alcohol use"
"MRE:0000052"	"Occupational exposure to herbicide"
"MRE:0000053"	"Occupational exposure to insecticide"
"MRE:0000054"	"Occupational exposure to fungicide"
"MRE:0000055"	"Occupational exposure to rodenticide"
"MRE:0000056"	"Occupational exposure to bactericide"
"MRE:0000057"	"Occupational exposure to carbamate insecticide"
"MRE:0000058"	"Occupational dust exposure"
"MRE:0000059"	"Occupational aerosol exposure"
"MRE:0000060"	"Occupational mineral dust exposure"
"MRE:0000061"	"Occupational metallic dust exposure"
