iri,iri label,activity,activity label
ECTO:0001078,,NCIT:C16795,Lifestyle
ECTO:0001079,,NCIT:C86589,Sedentary Lifestyle
ECTO:0001080,,NCIT:C19382,Coping Skills
ECTO:0001081,,NCIT:C19683,Personal Behavior
ECTO:0001082,,NCIT:C16273,Alcohol Consumption
ECTO:0001087,,NCIT:C17127,Sex Behavior
ECTO:0001089,,NCIT:C18059,Tobacco Use
ECTO:0001090,,NCIT:C17934,Tobacco Smoking
ECTO:0001091,,NCIT:C18270,Cigarette Smoking
ECTO:0001092,,NCIT:C19702,Cigar Smoking
ECTO:0001093,,NCIT:C18272,Substance Abuse
ECTO:0001094,,NCIT:C16522,Drug Abuse
ECTO:0001095,,NCIT:C20701,Alcohol Abuse
ECTO:0001096,,NCIT:C19035,Social Networking
ECTO:0001097,,NCIT:C19694,Risk Reduction
ECTO:0001098,,NCIT:C19706,Dietary Practices
ECTO:0001099,,NCIT:C20046,Red Meat Consumption
ECTO:0001100,,NCIT:C20048,High Vegetable Diet
ECTO:0001101,,NCIT:C90383,Feeding Regimen
ECTO:0001102,,NCIT:C90384,Food Consumption
ECTO:0001103,,NCIT:C90484,Water Consumption
ECTO:0001104,,NCIT:C19733,Cooking Practices
ECTO:0001105,,NCIT:C20026,Flame-Broiling
ECTO:0001106,,NCIT:C20134,Smoking Behavior
ECTO:0001107,,NCIT:C17427,Smoking Cessation
ECTO:0001109,,NCIT:C16203,Clinical or Research Activity
ECTO:0001110,,NCIT:C16502,Diagnostic Imaging
ECTO:0001111,,NCIT:C116448,Ultrasound Tomography 
ECTO:0001112,,NCIT:C17007,Positron Emission Tomography 
ECTO:0001113,,NCIT:C38101,Radiography 
ECTO:0001114,,NCIT:C16818,Mammography 
ECTO:0001115,,NCIT:C17263,Xeroradiography 
ECTO:0001116,,NCIT:C17639,Upper Gastrointestinal Series 
ECTO:0001117,,NCIT:C20175,Myelography 
ECTO:0001118,,NCIT:C38040,Bronchography 
ECTO:0001119,,NCIT:C38049,Cystography 
ECTO:0001120,,NCIT:C38096,Vaginography 
ECTO:0001121,,NCIT:C38102,Abdominal Radiography 
ECTO:0001122,,NCIT:C38103,Chest Radiography 
ECTO:0001123,,NCIT:C61508,Cholangiography 
ECTO:0001124,,NCIT:C96640,Total Body Radiography 
ECTO:0001125,,NCIT:C93214,Violence
ECTO:0001126,,NCIT:C75563,Unemployment
ECTO:0001127,,NCIT:C17009,Poverty
ECTO:0001153,,NCIT:C103934,Welding Occupations
ECTO:0001154,,NCIT:C107390,Asbestos Mining
