iri,iri label,stressor,stressor label
ECTO:0000070,,ENVO:02500000,environmental system process
ECTO:0000071,,ENVO:01000629,climate change
ECTO:0000072,,ENVO:01000630,acidification of an aquatic environment
ECTO:0000073,,ENVO:01000634,volcanic eruption
ECTO:0000074,,ENVO:01000677,earthquake
ECTO:0000075,,ENVO:01000689,tsunami
ECTO:0000076,,ENVO:01000705,soil degradation
ECTO:0000077,,ENVO:01000785,material extraction process
ECTO:0000078,,ENVO:02500001,desertification
ECTO:0000079,,ENVO:02500002,flooding
ECTO:0000080,,ENVO:02500003,atmospheric process
ECTO:0000081,,ENVO:02500012,deforestation
ECTO:0000082,,ENVO:02500036,environmental pollution
ECTO:0000084,,ENVO:01000631,ocean acidification
ECTO:0000085,,ENVO:01000678,tectonic earthquake
ECTO:0000086,,ENVO:01000692,landslide process
ECTO:0000087,,ENVO:01000695,mudslide
ECTO:0000088,,ENVO:01000707,coastal flooding
ECTO:0000089,,ENVO:01000708,riverine flooding
ECTO:0000090,,ENVO:01000709,flash flooding
ECTO:0000091,,ENVO:01000715,metotsunami
ECTO:0000092,,ENVO:01000716,storm surge process
ECTO:0000093,,ENVO:01000717,areal flooding
ECTO:0000094,,ENVO:01000718,urban flooding
ECTO:0000095,,ENVO:01000769,carbon dioxide emission process
ECTO:0000096,,ENVO:02500004,greenhouse effect
ECTO:0000097,,ENVO:02500024,accumulation of toxins from algal bloom process
ECTO:0000099,,ENVO:02500025,degradation of toxins from algal bloom process
ECTO:0000101,,ENVO:02500026,anthropogenic modulatory intervention process
ECTO:0000103,,ENVO:02500037,air pollution
ECTO:0000104,,ENVO:02500038,soil pollution
ECTO:0000105,,ENVO:02500039,water pollution
ECTO:0000106,,ENVO:02500040,plastic pollution
ECTO:0000107,,ENVO:02500044,urban pollution
ECTO:0000108,,ENVO:1000745,drought
