?cls	?def	?xrefs
<http://purl.obolibrary.org/obo/ECTO_9000251>	"An exposure to stilbenoid."	
<http://purl.obolibrary.org/obo/ENVO_03510014>	"A black or colored ink which is 1) used for writing, printing, and drawing and 2) made from fine soot (lampblack) and water."	
<http://purl.obolibrary.org/obo/FOODON_00002498>	"A food product made from a chard plant cultivar."@en	
<http://purl.obolibrary.org/obo/FOODON_03307345>		"SUBSET_SIREN:F7345"
<http://purl.obolibrary.org/obo/ECTO_9000833>	"An exposure to chlorotoluron."	
<http://purl.obolibrary.org/obo/CHEBI_189832>	"Any polyunsaturated fatty acid carrying one or more hydroperoxy substituents."	
<http://purl.obolibrary.org/obo/ECTO_9001730>	"An exposure to beta-adrenergic agonist."	
<http://purl.obolibrary.org/obo/CHEBI_17741>	"A member of the class of formamides that is formamide in which the amino hydrogens are replaced by methyl groups."	"PMID:3824392 MetaCyc:CPD-581 HMDB:HMDB0001888 Wikipedia:Dimethylformamide DrugBank:DB01844 PDBeChem:DMF PMID:19608215 PMID:18666198 PMID:23313473 KEGG:C03134 CAS:68-12-2 Reaxys:605365"
<http://purl.obolibrary.org/obo/CHEBI_28579>	"A member of the class of caprolactams that is azepane substituted by an oxo group at position 2."	"PMID:2263224 CAS:105-60-2 Gmelin:101802 PMID:17161908 UM-BBD_compID:c0432 Reaxys:106934 Beilstein:106934 Patent:WO2011108251 Patent:KR20120003540 KEGG:C06593 PDBeChem:ICC MetaCyc:CPD-883 Patent:US2011183386 KNApSAcK:C00000318 PMID:9688819 Wikipedia:Caprolactam"
<http://purl.obolibrary.org/obo/FOODON_03400275>	"A prepared grain or starch product made by forming units of dough composed of one or more flours, water and other ingredients. Macaroni, spaghetti and vermicelli may have *EGG WHITE ADDED*, but not egg yolk. Noodles, egg macaroni, egg spaghetti and egg vermicelli have *EGG YOLK ADDED* and should be so indexed. This refers to macaroni or noodles used as ingredients; excludes *PASTA DISH*, which is found under *PREPARED FOOD PRODUCT* (21 CFR 139)."@en	"http://www.langual.org/langual_thesaurus.asp?termid=A0275"
<http://purl.obolibrary.org/obo/ECTO_9000105>	"An exposure to uranium molecular entity."	
<http://purl.obolibrary.org/obo/CHEBI_37533>	"Derivatives of diazene with the general structure R-N=N-R'."	
<http://purl.obolibrary.org/obo/ECTO_9000830>	"An exposure to prosulfocarb."	
<http://purl.obolibrary.org/obo/CHEBI_36722>	"Any polychlorobiphenyl with molecular formula C12H4Cl6."	
<http://purl.obolibrary.org/obo/FOODON_00001696>		
<http://purl.obolibrary.org/obo/GO_0042418>	"The chemical reactions and pathways resulting in the formation of epinephrine, a hormone produced by the medulla of the adrenal glands that increases heart activity, improves the power and prolongs the action of muscles, and increases the rate and depth of breathing. It is synthesized by the methylation of norepinephrine."	
<http://purl.obolibrary.org/obo/CHEBI_33643>	"An unsaturated monocyclic hydrocarbon having at least one endocyclic double bond."	
<http://purl.obolibrary.org/obo/CDNO_0200468>	"The concentration of glucan when measured in some material entity."	
<http://purl.obolibrary.org/obo/ECTO_9000216>	"An exposure to retinoic acid."	
<http://purl.obolibrary.org/obo/CHEBI_37942>	"Any organic heterobicyclic compound whose skeleton results from the formal ortho-fusion of any bond of a pyridine with any bond of a thiophene."	
<http://purl.obolibrary.org/obo/ENVO_01001068>	"An astronomical body which is composed of rocky or metallic materials and is considerably smaller than asteroids."	
<http://purl.obolibrary.org/obo/CHEBI_76212>	"A triarylmethane in which the three aryl groups are phenyl. It forms the basic skeleton of several synthetic dyes."	"PMID:23053116 PMID:22573270 Wikipedia:Triphenylmethane PMID:23865508 CAS:519-73-3 Reaxys:1909753 PMID:23008002 PMID:24136473 PMID:23341885"
<http://purl.obolibrary.org/obo/ECTO_0070108>	"An exposure to whole wheat cracker via ingestion."	
<http://purl.obolibrary.org/obo/CHEBI_2877>	"A dipeptide obtained by formal condensation of the alpha-carboxy group of L-aspartic acid with the amino group of methyl L-phenylalaninate. Commonly used as an artificial sweetener."	"Codex::951 Europe::951 http://www.langual.org/langual_thesaurus.asp?termid=B3008"
<http://purl.obolibrary.org/obo/CHEBI_81567>		
<http://purl.obolibrary.org/obo/ECTO_0400011>	"A exposure event involving the interaction of an exposure receptor to increased amount of monosaccharide in obsolete food product."	
<http://purl.obolibrary.org/obo/CHEBI_31794>		"Codex::530 Europe::530 http://www.langual.org/langual_thesaurus.asp?termid=B3141"
<http://purl.obolibrary.org/obo/ECTO_9000106>	"An exposure to polymer."	
<http://purl.obolibrary.org/obo/CDNO_0200543>	"The concentration of phylloquinone when measured in some material entity."	"USDA_NDB:1185"
<http://purl.obolibrary.org/obo/CHEBI_29846>		
<http://purl.obolibrary.org/obo/CHEBI_79314>	"Any compound that is added to manufactured materials to inhibit, suppress, or delay the production of flames and so prevent the spread of fire."	"Wikipedia:Flame_retardant"
<http://purl.obolibrary.org/obo/CHEBI_49706>	"A monovalent inorganic anion obtained by deprotonation of perchloric acid."	"PDBeChem:LCP DrugBank:DB03138 Gmelin:2136 MolBase:1883 CAS:14797-73-0"
<http://purl.obolibrary.org/obo/CHEBI_131621>	"A steroid compound with a structure based on a 19-carbon (androstane) skeleton."	
<http://purl.obolibrary.org/obo/ECTO_9001393>	"An exposure to acetylene."	
<http://purl.obolibrary.org/obo/ECTO_9001340>	"An exposure to N-methyl-N'-nitro-N-nitrosoguanidine."	
<http://purl.obolibrary.org/obo/ECTO_9000888>	"An exposure to brilliant green."	
<http://purl.obolibrary.org/obo/CHEBI_71392>	"An organic anion that is the conjugate base of tetracycline obtained by deprotonation of the two enolic hydroxy groups and protonation of the tertiary amino group."	
<http://purl.obolibrary.org/obo/ENVO_01001619>	"A material accumulation process during which a accumulation of snow and ice forms or increases in mass."	"http://sweetontology.net/phenCryo/Accumulation"
<http://purl.obolibrary.org/obo/NCBITaxon_27065>		
<http://purl.obolibrary.org/obo/ENVO_00000002>	"An anthropogenic geographic feature is a geographic feature resulting from the influence of human beings on nature."	"FTT:78 TGN:50001"
<http://purl.obolibrary.org/obo/FOODON_00001992>	"Lamb meat food product is a meat product taken from a lamb, a sheep less than a year old."@en	
<http://purl.obolibrary.org/obo/CHEBI_17997>		
<http://purl.obolibrary.org/obo/GO_0005515>	"Binding to a protein."	
<http://purl.obolibrary.org/obo/CDNO_0200430>	"The concentration of ascorbic acid when measured in some material entity."	
<http://purl.obolibrary.org/obo/CHEBI_83517>	"An  organoiodine compound that is 2,4,6-triiodobenzoic acid substituted by an acetylamino group at position 3 and a (2-hydroxyethyl)carbamoyl group at position 5. It is used as a contrast medium."	"PMID:4645232 Reaxys:2903918 CAS:28179-44-4 PMID:3320896 Drug_Central:4582 PMID:4052146 Wikipedia:Ioxitalamic_acid KEGG:D07418"
<http://purl.obolibrary.org/obo/CHEBI_77706>	"An EC 3.4.19.* (omega-peptidase) inhibitor that interferes with the action of pyroglutamyl-peptidase I (EC 3.4.19.3)."	"Wikipedia:Pyroglutamyl-peptidase_I"
<http://purl.obolibrary.org/obo/ECTO_9001617>	"An exposure to zirconium atom."	
<http://purl.obolibrary.org/obo/CHEBI_87132>	"A member of the class of morpholines that has significant antifungal properties."	
<http://purl.obolibrary.org/obo/ENVO_00003087>	"A portion of acetamide enriched soil is a portion of soil with elevated levels of acetamide."	
<http://purl.obolibrary.org/obo/CHEBI_18367>	"A phosphate ion that is the conjugate base of hydrogenphosphate."	"Gmelin:1997 Beilstein:3903772 PDBeChem:PO4 CAS:14265-44-2 Reaxys:3903772 KEGG:C00009"
<http://purl.obolibrary.org/obo/CDNO_0200533>	"The concentration of tetrahydrofolate when measured in some material entity."	"INFOODs:FOLH4"
<http://purl.obolibrary.org/obo/ECTO_9001776>	"An exposure to anti-arrhythmia drug."	
<http://purl.obolibrary.org/obo/CHEBI_18295>	"A member of the class of imidazoles that is 1H-imidazole substituted at position C-4 by a 2-aminoethyl group."	"Beilstein:2012 KNApSAcK:C00001414 Drug_Central:1375 KEGG:D08040 PMID:16399866 PMID:19547708 HMDB:HMDB0000870 PMID:22770225 CAS:51-45-6 PMID:24101735 PDBeChem:HSM KEGG:C00388 PMID:19843401 Reaxys:2012 Wikipedia:Histamine MetaCyc:HISTAMINE Gmelin:2968"
<http://purl.obolibrary.org/obo/CHEBI_83563>	"Any alkane having a chain length of at least 13 carbon atoms."	
<http://purl.obolibrary.org/obo/ECTO_9001027>	"An exposure to Chlorodifluoromethane."	
<http://purl.obolibrary.org/obo/ECTO_9000514>	"An exposure to temozolomide."	
<http://purl.obolibrary.org/obo/ECTO_9001290>	"An exposure to triforine."	
<http://purl.obolibrary.org/obo/FOODON_03460263>	"A fat or oil derived from vegetable material"@en	"http://www.langual.org/langual_thesaurus.asp?termid=H0263"
<http://purl.obolibrary.org/obo/CHEBI_26672>	"Any of low-molecular-mass iron(III)-chelating compounds produced by microorganisms for the purpose of the transport and sequestration of iron."	
<http://purl.obolibrary.org/obo/CHEBI_45379>	"An amino acid consisting of carbamic acid having an N-methyl substituent."	"PMID:22382393 PMID:18491873 PMID:21687849 Reaxys:1738994 PMID:21311787 PDBeChem:RGI CAS:6414-57-9 PMID:28083911 Beilstein:1738994 PMID:33146910 PMID:13663920"
<http://purl.obolibrary.org/obo/CHEBI_36078>		"LIPID_MAPS_class:LMST04"
<http://purl.obolibrary.org/obo/CHEBI_50141>	"A drug which causes a narrowing of the lumen of a bronchus or bronchiole."	
<http://purl.obolibrary.org/obo/ECTO_9000488>	"An exposure to monosodium L-glutamate."	
<http://purl.obolibrary.org/obo/GO_0051790>	"The chemical reactions and pathways resulting in the formation of fatty acids with a chain length of less than C6."	
<http://purl.obolibrary.org/obo/CHEBI_36911>		
<http://purl.obolibrary.org/obo/CHEBI_139592>	"An alpha-hydroxy ketone in which the carbonyl group and the hydroxy group are linked by a carbon bearing two organyl groups."	
<http://purl.obolibrary.org/obo/CHEBI_38829>		"Beilstein:1731145"
<http://purl.obolibrary.org/obo/FOODON_03000243>	"A whole cantaloupe or some substance made from a processed cantaloupe."@en	
<http://purl.obolibrary.org/obo/CHEBI_15882>	"An organic hydroxy compound that consists of benzene bearing a single hydroxy substituent. The parent of the class of phenols."	"PMID:19029204 PMID:21689881 KEGG:C15584 Gmelin:2794 UM-BBD_compID:c0128 PMID:17852157 KEGG:D00033 Drug_Central:4266 KEGG:C00146 PMID:12058733 Reaxys:969616 PMID:21809019 PMID:16953321 PDBeChem:IPH DrugBank:DB03255 PMID:20886261 HMDB:HMDB0000228 Wikipedia:Phenol CAS:108-95-2 PMID:21492257 KNApSAcK:C00002664 PMID:21822930 Beilstein:969616 KEGG:D06536"
<http://purl.obolibrary.org/obo/CHEBI_37010>		
