defined_class	defined_class_name	stressor
ECTO:6000000	exposure to behavior	NCIT:C43431
ECTO:6000001	exposure to violence	NCIT:C93214
ECTO:6000002	exposure to exercise	NCIT:C16567
ECTO:6000003	exposure to walking	NCIT:C73554
ECTO:6000004	exposure to sedentary lifestyle	NCIT:C86589
ECTO:6000005	exposure to coping skills	NCIT:C19382
ECTO:6000006	exposure to sex behavior	NCIT:C17127
ECTO:6000007	exposure to substance abuse	NCIT:C18272
ECTO:6000008	exposure to drug abuse	NCIT:C16522
ECTO:6000009	exposure to alcohol abuse	NCIT:C20701
ECTO:6000010	exposure to social networking	NCIT:C19035
ECTO:6000011	exposure to risk reduction	NCIT:C19694
ECTO:6000012	exposure to flame-broiling	NCIT:C20026
ECTO:6000013	exposure to smoking	NCIT:C154329
ECTO:6000014	exposure to smoking cessation	NCIT:C17427
ECTO:6000015	exposure to lifestyle	NCIT:C16795
ECTO:6000016	exposure to personal behavior	NCIT:C19683
ECTO:6000021	exposure to eating behavior	NCIT:C19706
ECTO:6000022	exposure to drinking behavior	GO:0042756
ECTO:6000023	exposure to food processing behavior	NCIT:C17604
ECTO:6000024	exposure to clinical or research activity	NCIT:C16203
ECTO:6000025	exposure to unemployment	NCIT:C75563
ECTO:6000026	exposure to poverty	NCIT:C17009
ECTO:6000027	exposure to social circumstances	NCIT:C20188
ECTO:6000028	exposure to socioeconomic factors	NCIT:C17468
ECTO:6000029	exposure to tobacco smoking	NCIT:C17934
ECTO:6000030	exposure to hunting	NBO:0009003
ECTO:0001082	exposure to alcohol consumption	NCIT:C16273
ECTO:6000033	exposure to travel	NCIT:C53462
ECTO:6000031	exposure to strenuous exercise	NCIT:C39773
ECTO:6000032	exposure to weight bearing	NCIT:C178214
