defined_class	defined_class_name	attribute	degree
ECTO:0001055	exposure to decreased air temperature	ENVO:09200001	PATO:0001997
ECTO:4000000	exposure to change	PATO:0000001	PATO:0000069
ECTO:4000002	exposure to increased salt	CHEBI:24866	PATO:0000470
ECTO:4000003	exposure to decreased salt	CHEBI:24866	PATO:0001997
ECTO:4000004	exposure to increased methane	CHEBI:16183	PATO:0000470
ECTO:4000005	exposure to decreased methane	CHEBI:16183	PATO:0001997
ECTO:4000006	exposure to increased glucose	CHEBI:17234	PATO:0000470
ECTO:4000007	exposure to increased fructose	CHEBI:28757	PATO:0000470
ECTO:4000008	exposure to increased sucrose	CHEBI:17992	PATO:0000470
ECTO:4000009	exposure to increased protein	CHEBI:36080	PATO:0000470
ECTO:4000010	exposure to increased monosaccharide	CHEBI:35381	PATO:0000470
ECTO:4000011	exposure to increased cholesterol	CHEBI:16113	PATO:0000470
ECTO:4000012	exposure to increased triglyceride	CHEBI:17855	PATO:0000470
ECTO:4000013	exposure to increased low-density lipoprotein	CHEBI:39026	PATO:0000470
ECTO:4000014	exposure to increased high-density lipoprotein	CHEBI:39025	PATO:0000470
ECTO:4000015	exposure to decreased glucose	CHEBI:17234	PATO:0001997
ECTO:4000016	exposure to decreased fructose	CHEBI:28757	PATO:0001997
ECTO:4000017	exposure to decreased sucrose	CHEBI:17992	PATO:0001997
ECTO:4000018	exposure to decreased protein	CHEBI:36080	PATO:0001997
ECTO:4000019	exposure to decreased monosaccharide	CHEBI:35381	PATO:0001997
ECTO:4000020	exposure to decreased cholesterol	CHEBI:16113	PATO:0001997
ECTO:4000021	exposure to decreased triglyceride	CHEBI:17855	PATO:0001997
ECTO:4000022	exposure to decreased low-density lipoprotein	CHEBI:39026	PATO:0001997
ECTO:4000023	exposure to decreased high-density lipoprotein	CHEBI:39025	PATO:0001997
ECTO:4000024	exposure to increased air pressure	ENVO:09200011	PATO:0000470
ECTO:4000035	exposure to increased water pressure	ENVO:3100033	PATO:0000470
ECTO:4000036	exposure to decreased air pressure	ENVO:09200011	PATO:0001997
ECTO:4000033	exposure to decreased water pressure	ENVO:3100033	PATO:0001997
ECTO:4000027	exposure to freezing water	ENVO:00002006	PATO:0001985
ECTO:4000034	exposure to increased air temperature	ENVO:09200001	PATO:0000470
ECTO:4000028	exposure to freezing air	ENVO:00002005	PATO:0001985
ECTO:4000029	exposure to increased soil temperature	ENVO:09200012	PATO:0000470
ECTO:4000030	exposure to decreased soil temperature	ENVO:09200012	PATO:0001997
ECTO:4000031	exposure to increased water temperature	ENVO:09200014	PATO:0000470
ECTO:4000032	exposure to decreased water temperature	ENVO:09200014	PATO:0001997
