defined_class	defined_class_name	stressor	medium
ECTO:0090001	exposure to glucose in food	CHEBI:17234	FOODON:00001002
ECTO:0090002	exposure to fructose in food	CHEBI:28757	FOODON:00001002
ECTO:0090003	exposure to sucrose in food	CHEBI:17992	FOODON:00001002
ECTO:0090004	exposure to protein in food	CHEBI:36080	FOODON:00001002
ECTO:0090005	exposure to monosaccharide in food	CHEBI:35381	FOODON:00001002
ECTO:0090006	exposure to cholesterol in food	CHEBI:16113	FOODON:00001002
ECTO:0090007	exposure to triglyceride in food	CHEBI:17855	FOODON:00001002
ECTO:0090008	exposure to low-density lipoprotein in food	CHEBI:39026	FOODON:00001002
ECTO:0090009	exposure to high-density lipoprotein in food	CHEBI:39025	FOODON:00001002
ECTO:0090010	exposure to lipid in food	CHEBI:18059	FOODON:00001002
ECTO:0090011	exposure to paraquat in air	CHEBI:34905	ENVO:00002005
ECTO:0090012	exposure to paraquat in soil	CHEBI:34905	ENVO:00001998
ECTO:0090013	exposure to paraquat in water	CHEBI:34905	ENVO:00002006
ECTO:0090014	exposure to DDT in air	CHEBI:16130	ENVO:00002005
ECTO:0090015	exposure to DDT in soil	CHEBI:16130	ENVO:00001998
ECTO:0090016	exposure to DDT in water	CHEBI:16130	ENVO:00002006
