defined_class	defined_class_name	stressor
ECTO:1000001	exposure to coal power plant	ENVO:2000038
ECTO:1000002	exposure to fossil fuel power plant 	ENVO:2000037
ECTO:1000003	exposure to mine	ENVO:00000076
ECTO:1000008	exposure to gas power station	ENVO:2000039
ECTO:1000009	exposure to power plant	ENVO:00002214
ECTO:1000010	exposure to geothermal power plant	ENVO:00002215
ECTO:1000011	exposure to nuclear power plant	ENVO:00002271
ECTO:1000012	exposure to solar power station	ENVO:2000041
ECTO:1000013	exposure to factory	ENVO:01000536
ECTO:1000014	exposure to waste treatment plant	ENVO:00002272
ECTO:1000015	exposure to wastewater treatment plant	ENVO:00002043
ECTO:1000016	exposure to agricultural wastewater treatment plant	ENVO:2000003
ECTO:1000017	exposure to industrial wastewater treatment plant	ENVO:2000002
ECTO:1000021	exposure to construction	ENVO:01001813
ECTO:1000033	exposure to abattoir	ENVO:01000925
ECTO:1000034	exposure to farm	ENVO:00000078
ECTO:1000035	exposure to hospital	ENVO:00002173
ECTO:1000036	exposure to laboratory	ENVO:01001406
ECTO:1000037	exposure to office	ENVO:01001224
ECTO:1000040	exposure to restaurant	ENVO:01000934
ECTO:1000041	exposure to retail shop	ENVO:00002221
ECTO:5000006	exposure to gold mine	ENVO:00002168
ECTO:5000007	exposure to coal mine	ENVO:00002169
ECTO:5000001	exposure to sidewalks	ENVO:01001279
ECTO:5000002	exposure to public swimming pool	ENVO:01000967
ECTO:1000042	exposure to day care building	ENVO:01000927
