defined_class	defined_class_label	condition
ECTO:1000000	exposure to environmental condition	ENVO:01000203
ECTO:1000020	exposure to weather	ENVO:01001078
ECTO:1000021	exposure to landspout	ENVO:01001486
ECTO:1000022	exposure to storm surge	ENVO:01000714
ECTO:1000024	exposure to tornado	ENVO:01001482
ECTO:1000025	exposure to waterspout	ENVO:01001487
ECTO:1000026	exposure to flash flood	ENVO:01000713
ECTO:1000027	exposure to rain	ENVO:01001564
ECTO:1000030	exposure to flood	ENVO:01000710
ECTO:1000032	exposure to air conditioning unit	ENVO:00002874
