defined_class	defined_class_name	stressor
ECTO:0000015	exposure to environmental material	ENVO:00010483
ECTO:7000001	exposure to dust	ENVO:00002008
ECTO:7000002	exposure to fumes	ENVO:02000112
ECTO:7000003	exposure to smog	ENVO:01000842
ECTO:7000004	exposure to coal	ENVO:02000091
ECTO:7000005	exposure to coal dust	ENVO:02000099
ECTO:7000006	exposure to coal mine waste material	ENVO:00002206
ECTO:7000007	exposure to self-heating coal mine waste material	ENVO:00002207
ECTO:7000008	exposure to clay	ENVO:00002982
ECTO:7000009	exposure to clay dust	ENVO:02000105
ECTO:7000010	exposure to brick	ENVO:01000475
ECTO:7000011	exposure to brick material	ENVO:01000474
ECTO:7000012	exposure to soil	ENVO:00001998
ECTO:7000013	exposure to asphalt	ENVO:01000460
ECTO:7000014	exposure to refined asphalt	ENVO:01000461
ECTO:7000015	exposure to asphalt concrete	ENVO:01000459
ECTO:7000016	exposure to glass	ENVO:01000480
ECTO:7000017	exposure to fibrous glass dust	ENVO:02000102
ECTO:7000018	exposure to rock	ENVO:00001995
ECTO:7000019	exposure to ore	ENVO:02000094
ECTO:7000020	exposure to sand	ENVO:01000017
ECTO:7000021	exposure to metallic dust	ENVO:02000103
ECTO:7000022	exposure to fibrous dust	ENVO:02000101
ECTO:7000023	exposure to mineral dust	ENVO:02000100
ECTO:7000024	exposure to grain dust	ENVO:02000107
ECTO:7000025	exposure to asbestos dust	ENVO:02000106
ECTO:7000026	exposure to cement dust	ENVO:02000104
ECTO:7000027	exposure to slate dust	ENVO:01001286
ECTO:7000028	exposure to talc dust	ENVO:01001285
ECTO:7000029	exposure to kaolin dust	ENVO:01001288
ECTO:7000030	exposure to silica dust	ENVO:01001282
ECTO:7000031	exposure to barium dust	ENVO:01001284
ECTO:7000032	exposure to aluminum dust	ENVO:01001283
ECTO:7000033	exposure to dust from plant parts	ENVO:02000109
ECTO:7000034	exposure to wood	ENVO:00002040
ECTO:7000035	exposure to treated wood	ENVO:00002135
ECTO:7000036	exposure to charcoal	ENVO:01000560
ECTO:7000037	exposure to concrete	ENVO:01000458
ECTO:7000038	exposure to plaster	ENVO:01000476
ECTO:7000039	exposure to cement plaster	ENVO:01000478
ECTO:7000040	exposure to lime plaster	ENVO:01000479
ECTO:7000055	exposure to liquefied natural gas	ENVO:01000557
ECTO:7000056	exposure to natural gas	ENVO:01000552
