defined_class	defined_class_name	stressor
ECTO:0010000	exposure to environmental quality	PATO:0000001
ECTO:0010001	exposure to qualitative environmental quality	PATO:0000068
ECTO:0010002	exposure to environmental process quality	PATO:0001236
ECTO:0010003	exposure to environmental physical object quality	PATO:0001241
ECTO:0000979	exposure to temperature of environmental surroundings	ENVO:09200000
ECTO:0000980	exposure to temperature of air in surroundings	ENVO:09200001
ECTO:4000001	exposure to increased temperature	PATO:0001305
ECTO:0001057	exposure to decreased temperature	PATO:0001306
ECTO:4000025	exposure to increased pressure	PATO:0001576
ECTO:4000026	exposure to decreased pressure	PATO:0001575
ECTO:0010004	exposure to acidity of soil	ENVO:09200010
ECTO:0010005	exposure to acidic environment	ENVO:01000315
ECTO:0010006	exposure to elevation	PATO:0001687
ECTO:0010007	exposure to humidity	PATO:0015009
ECTO:0010008	exposure to salinity	PATO:0085001
ECTO:0010009	exposure to tension	PATO:0002284
ECTO:0010010	exposure to increased osmolarity	PATO:0001657
ECTO:0010011	exposure to temperature of sea surface	ENVO:04000002
