defined_class	defined_class_name	stressor
ECTO:0600000	exposure to environmental system	ENVO:01000254
ECTO:1000007	exposure to high temperature environment	ENVO:01000305
ECTO:1000018	exposure to extreme high temperature environment	ENVO:01000318
ECTO:1000019	exposure to high pressure environment	ENVO:01000304
ECTO:0600001	exposure to aquaculture farm	ENVO:03600074
ECTO:0600002	exposure to child care environment	ENVO:03501333
ECTO:0600003	exposure to cold room	ENVO:03600035
ECTO:0600004	exposure to grassland ecosystem	ENVO:01001206
ECTO:0600005	exposure to thermal pollution of an aquatic system	ENVO:01001266
ECTO:0600006	exposure to carbonate system of ocean water	ENVO:01001497
ECTO:0600007	exposure to space station	ENVO:03600050
ECTO:0600008	exposure to outer space	ENVO:01000637
ECTO:0600009	exposure to marine environment	ENVO:01000320
ECTO:0600010	exposure to estuary	ENVO:00000045
ECTO:0600011	exposure to vineyard	ENVO:00000116
