defined_class	defined_class_name	stressor
ECTO:3000000	exposure to organism	NCBITaxon:1
ECTO:3000001	exposure to virus	NCBITaxon:10239
ECTO:3000002	exposure to Enterovirus	NCBITaxon:12059
ECTO:3000003	exposure to Helicobacter pylori	NCBITaxon:210
ECTO:3000004	exposure to Papillomaviridae	NCBITaxon:151340
ECTO:3000005	exposure to humans	NCBITaxon:9606
ECTO:3000010	exposure to human patient	OPMI:0000417
ECTO:3000006	exposure to Toxoplasma gondii	NCBITaxon:5811
ECTO:3000007	exposure to Listeria	NCBITaxon:1637
ECTO:3000008	exposure to Salmonella	NCBITaxon:590
ECTO:3000009	exposure to Escherichia coli	NCBITaxon:562
ECTO:3000012	exposure to Acinetobacter baumannii	NCBITaxon:470
ECTO:3000013	exposure to Acinetobacter lwoffii	NCBITaxon:28090
ECTO:3000014	exposure to Limosilactobacillus reuteri CF48-3A	NCBITaxon:525341
ECTO:3000015	exposure to African swine fever virus	NCBITaxon:10497
ECTO:3000016	exposure to Akkermansia muciniphila	NCBITaxon:239935
ECTO:3000017	exposure to Alistipes putredinis DSM 17216	NCBITaxon:445970
ECTO:3000018	exposure to Alistipes putredinis	NCBITaxon:28117
ECTO:3000019	exposure to Amanita	NCBITaxon:41955
ECTO:3000020	exposure to Diaporthe	NCBITaxon:36922
ECTO:3000021	exposure to Sitobion avenae	NCBITaxon:44664
ECTO:3000022	exposure to Aspergillus fumigatus var. fumigatus	NCBITaxon:41122
ECTO:3000023	exposure to Aspergillus fumigatus	NCBITaxon:746128
ECTO:3000024	exposure to Bacillus anthracis str. Sterne	NCBITaxon:260799
ECTO:3000025	exposure to Bacillus sp. DU106(2010)	NCBITaxon:865093
ECTO:3000026	exposure to Bacillus subtilis	NCBITaxon:1423
ECTO:3000027	exposure to Bacillus thuringiensis Bt18247	NCBITaxon:1423143
ECTO:3000028	exposure to Bacillus thuringiensis Bt407	NCBITaxon:527021
ECTO:3000029	exposure to Bacillus velezensis	NCBITaxon:492670
ECTO:3000030	exposure to Staphylococcus aureus	NCBITaxon:1280
ECTO:3000031	exposure to Xanthomonas translucens	NCBITaxon:343
ECTO:3000032	exposure to Pseudomonas syringae	NCBITaxon:317
ECTO:3000033	exposure to Bacteroides thetaiotaomicron	NCBITaxon:818
ECTO:3000034	exposure to Phocaeicola vulgatus CL09T03C04	NCBITaxon:997891
ECTO:3000035	exposure to Barley yellow dwarf virus	NCBITaxon:12037
ECTO:3000036	exposure to Beauveria bassiana	NCBITaxon:176275
ECTO:3000037	exposure to Bovine viral diarrhea virus 1	NCBITaxon:11099
ECTO:3000038	exposure to Campylobacter jejuni subsp. jejuni	NCBITaxon:32022
ECTO:3000039	exposure to Candida albicans	NCBITaxon:5476
ECTO:3000040	exposure to Candidatus Liberibacter asiaticus	NCBITaxon:34021
ECTO:3000041	exposure to Citrobacter rodentium	NCBITaxon:67825
ECTO:3000042	exposure to Clostridioides difficile	NCBITaxon:1496
ECTO:3000044	exposure to Bacteroides caccae	NCBITaxon:47678
ECTO:3000045	exposure to Bacillus paramycoides	NCBITaxon:2026194
ECTO:3000046	exposure to Mesorhizobium loti	NCBITaxon:381
ECTO:3000047	exposure to Thalassiosira pseudonana	NCBITaxon:35128
ECTO:3000048	exposure to Bacillus siamensis	NCBITaxon:659243
ECTO:3000049	exposure to Pseudomonas fluorescens	NCBITaxon:294
ECTO:3000050	exposure to Fusobacterium nucleatum	NCBITaxon:851
ECTO:3000051	exposure to Bacillus <firmicutes>	NCBITaxon:1386
ECTO:3000052	exposure to Companilactobacillus alimentarius	NCBITaxon:1602
ECTO:3000053	exposure to Coxsackievirus A6	NCBITaxon:86107
ECTO:3000054	exposure to Crithidia bombi	NCBITaxon:288676
ECTO:3000055	exposure to Cryptococcus neoformans species complex	NCBITaxon:1897064
ECTO:3000056	exposure to Cucumber mosaic virus	NCBITaxon:12305
ECTO:3000057	exposure to Lactiplantibacillus plantarum	NCBITaxon:1590
ECTO:3000059	exposure to Diplodia sapinea	NCBITaxon:66738
ECTO:3000060	exposure to Diplodia sapinea CMW 190	NCBITaxon:1400760
ECTO:3000061	exposure to Dubosiella	NCBITaxon:1937008
ECTO:3000062	exposure to Paxillus involutus f. eburneus	NCBITaxon:1124488
ECTO:3000063	exposure to Veillonella sp. oral taxon 780 str. F0422	NCBITaxon:944564
ECTO:3000064	exposure to Agrilus planipennis	NCBITaxon:224129
ECTO:3000065	exposure to Enterobacter hormaechei	NCBITaxon:158836
ECTO:3000066	exposure to Enterococcus faecalis	NCBITaxon:1351
ECTO:3000067	exposure to Bacteroides fragilis NCTC 9343	NCBITaxon:272559
ECTO:3000068	exposure to Bacteroides fragilis	NCBITaxon:817
ECTO:3000069	exposure to Epichloe gansuensis var. inebrians E818	NCBITaxon:1227659
ECTO:3000070	exposure to Borrelia	NCBITaxon:138
ECTO:3000071	exposure to Symbiodinium sp. subtype D1a ex Pteraeolidia ianthina	NCBITaxon:1509513
ECTO:3000072	exposure to Faecalibaculum rodentium	NCBITaxon:1702221
ECTO:3000073	exposure to Nicotiana attenuata	NCBITaxon:49451
ECTO:3000074	exposure to Flavivirus	NCBITaxon:11051
ECTO:3000075	exposure to Yellow fever virus	NCBITaxon:11089
ECTO:3000076	exposure to Zika virus	NCBITaxon:64320
ECTO:3000077	exposure to Ceratocystis manginecans	NCBITaxon:929235
ECTO:3000078	exposure to Fusarium culmorum	NCBITaxon:5516
ECTO:3000079	exposure to Fusarium graminearum	NCBITaxon:5518
ECTO:3000080	exposure to Fusarium keratoplasticum	NCBITaxon:1328300
ECTO:3000081	exposure to Fusarium oxysporum	NCBITaxon:5507
ECTO:3000082	exposure to Fusarium	NCBITaxon:5506
ECTO:3000083	exposure to Fusarium pseudograminearum	NCBITaxon:101028
