iri,iri label,stressor,stressor label
ECTO:0000001,,ENVO:01001023,radiation
ECTO:0000002,,ENVO:01001026,electromagnetic radiation
ECTO:0000003,,ENVO:01001027,acoustic radiation
ECTO:0000004,,ENVO:21001218,gamma radiation
ECTO:0000005,,ENVO:21001217,x-ray radiation
ECTO:0000006,,ENVO:21001216,ultraviolet radiation
ECTO:0000007,,ENVO:21001215,visible light radiation
ECTO:0000008,,ENVO:21001214,infrared radiation
ECTO:0000009,,NPO:1738,far-infrared radiation
ECTO:0000010,,NPO:1739,mid-infrared radiation
ECTO:0000011,,NPO:1740,near-infrared radiation
ECTO:0000012,,ENVO:21001212,microwave radiation
ECTO:0000013,,ENVO:21001212,radiowave radiation
ECTO:0000014,,NPO:1744,ultrasound radiation
