defined_class	defined_class_name	stressor
ECTO:0070000	ingestion of probiotic or bacteria supplement	FOODON:03401308
ECTO:0070001	ingestion of skim milk	FOODON:00003237
ECTO:0070002	ingestion of lowfat milk	FOODON:03301483
ECTO:0070003	ingestion of whole milk	FOODON:03302116
ECTO:0070004	ingestion of almond milk	FOODON:00003157
ECTO:0070005	ingestion of soybean milk	FOODON:03305289
ECTO:0070006	ingestion of milk beverage analog	FOODON:00002034
ECTO:0070007	ingestion of heavy cream	FOODON:03420161
ECTO:0070008	ingestion of imitation half and half	FOODON:03304468
ECTO:0070009	ingestion of frozen yogurt	FOODON:03307445
ECTO:0070010	ingestion of ice cream	FOODON:00001045
ECTO:0070011	ingestion of butter	FOODON:03310351
ECTO:0070012	ingestion of margarine	FOODON:03301672
ECTO:0070013	ingestion of butter spread	FOODON:03303711
ECTO:0070014	ingestion of non fat yogurt	FOODON:03305085
ECTO:0070015	ingestion of lowfat yogurt	FOODON:03307444
ECTO:0070016	ingestion of regular yogurt	FOODON:03301502
ECTO:0070017	ingestion of cottage cheese	FOODON:03301605
ECTO:0070018	ingestion of cream cheese	FOODON:03301889
ECTO:0070020	ingestion of lowfat cheese	FOODON:03303902
ECTO:0070021	ingestion of cheese (natural)	FOODON:03303504
ECTO:0070022	ingestion of apple	FOODON:00002473
ECTO:0070023	ingestion of avocado	FOODON:03305236
ECTO:0070024	ingestion of banana	FOODON:03316257
ECTO:0070025	ingestion of blueberries	FOODON:03302045
ECTO:0070026	ingestion of cantaloupe	FOODON:03302805
ECTO:0070027	ingestion of grapes	FOODON:03301123
ECTO:0070028	ingestion of grapefruit	FOODON:03301702
ECTO:0070029	ingestion of orange	FOODON:03315106
ECTO:0070030	ingestion of peach	FOODON:03301719
ECTO:0070031	ingestion of plum	FOODON:03301580
ECTO:0070032	ingestion of apricot	FOODON:03301701
ECTO:0070033	ingestion of pear	FOODON:03301724
ECTO:0070034	ingestion of raspberry	FOODON:03307119
ECTO:0070035	ingestion of strawberry	FOODON:03301722
