defined_class	defined_class_name	stressor
ECTO:0070000	exposure to probiotic or bacteria supplement via ingestion	FOODON:03401308
ECTO:0070001	exposure to skim milk via ingestion	FOODON:03311235
ECTO:0070002	exposure to lowfat milk via ingestion	FOODON:00002815
ECTO:0070003	exposure to whole milk via ingestion	FOODON:03310780
ECTO:0070004	exposure to almond milk via ingestion	FOODON:00003157
ECTO:0070005	exposure to soybean milk via ingestion	FOODON:03305289
ECTO:0070006	exposure to milk beverage analog via ingestion	FOODON:00002034
ECTO:0070007	exposure to heavy cream via ingestion	FOODON:03310795
ECTO:0070008	exposure to imitation half and half via ingestion	FOODON:03304468
ECTO:0070009	exposure to frozen yogurt via ingestion	FOODON:03307445
ECTO:0070010	exposure to ice cream via ingestion	FOODON:00001045
ECTO:0070011	exposure to butter via ingestion	FOODON:03310351
ECTO:0070012	exposure to margarine via ingestion	FOODON:03301672
ECTO:0070013	exposure to butter spread via ingestion	FOODON:03303711
ECTO:0070014	exposure to non fat yogurt via ingestion	FOODON:03305085
ECTO:0070015	exposure to lowfat yogurt via ingestion	FOODON:03307444
ECTO:0070016	exposure to regular yogurt via ingestion	FOODON:03301502
ECTO:0070017	exposure to cottage cheese via ingestion	FOODON:03303720
ECTO:0070018	exposure to cream cheese via ingestion	FOODON:03301889
ECTO:0070020	exposure to lowfat cheese via ingestion	FOODON:03303902
ECTO:0070021	exposure to cheese (natural) via ingestion	FOODON:03303504
ECTO:0070022	exposure to apple via ingestion	FOODON:00002473
ECTO:0070023	exposure to avocado via ingestion	FOODON:03305236
ECTO:0070024	exposure to banana via ingestion	FOODON:00004183
ECTO:0070025	exposure to blueberries via ingestion	FOODON:03302045
ECTO:0070026	exposure to cantaloupe via ingestion	FOODON:03302805
ECTO:0070027	exposure to grapes via ingestion	FOODON:03301123
ECTO:0070028	exposure to grapefruit via ingestion	FOODON:03301702
ECTO:0070029	exposure to navel orange via ingestion	FOODON:00002511
ECTO:0070030	exposure to peach via ingestion	FOODON:03301719
ECTO:0070031	exposure to plum via ingestion	FOODON:03301580
ECTO:0070032	exposure to apricot via ingestion	FOODON:03301701
ECTO:0070033	exposure to pear via ingestion	FOODON:03301724
ECTO:0070034	exposure to raspberry via ingestion	FOODON:03307119
ECTO:0070035	exposure to strawberry via ingestion	FOODON:03301722
ECTO:0070036	exposure to tomato via ingestion	FOODON:03301453
ECTO:0070037	exposure to tomato juice via ingestion	FOODON:03301454
ECTO:0070038	exposure to tomato sauce via ingestion	FOODON:03301217
ECTO:0070039	exposure to watermelon via ingestion	FOODON:03301040
ECTO:0070040	exposure to bean via ingestion	FOODON:00002753
ECTO:0070041	exposure to lentil via ingestion	FOODON:03310641
ECTO:0070042	exposure to bell pepper via ingestion	FOODON:00003546
ECTO:0070043	exposure to broccoli via ingestion	FOODON:03301713
ECTO:0070044	exposure to brussels sprout via ingestion	FOODON:03311885
ECTO:0070045	exposure to cabbage via ingestion	FOODON:00003406
ECTO:0070046	exposure to carrot via ingestion	FOODON:00003408
ECTO:0070047	exposure to cauliflower via ingestion	FOODON:00003410
ECTO:0070048	exposure to corn via ingestion	FOODON:03317387
ECTO:0070049	exposure to eggplant via ingestion	FOODON:00003618
ECTO:0070050	exposure to zucchini via ingestion	FOODON:03310943
ECTO:0070051	exposure to squash via ingestion	FOODON:00003539
ECTO:0070052	exposure to kale via ingestion	FOODON:03304859
ECTO:0070053	exposure to collard greens via ingestion	FOODON:03304860
ECTO:0070054	exposure to mustard greens via ingestion	FOODON:00002684
ECTO:0070055	exposure to swiss chard via ingestion	FOODON:00003631
ECTO:0070056	exposure to onion via ingestion	FOODON:03301704
ECTO:0070057	exposure to peas via ingestion	FOODON:03301300
ECTO:0070058	exposure to lima bean via ingestion	FOODON:03302061
ECTO:0070059	exposure to spinach leaf (whole) via ingestion	FOODON:00003495
ECTO:0070060	exposure to spinach leaf (whole, raw) via ingestion	FOODON:03301716
ECTO:0070061	exposure to saccharin via ingestion	CHEBI:32111
ECTO:0070062	exposure to green bean via ingestion	FOODON:03305806
ECTO:0070063	exposure to tofu via ingestion	FOODON:03309664
ECTO:0070064	exposure to vegetarian burger via ingestion	FOODON:00003177
ECTO:0070065	exposure to miso via ingestion	FOODON:00003208
ECTO:0070066	exposure to soybean via ingestion	FOODON:03301415
ECTO:0070067	exposure to winter squash via ingestion	FOODON:03301577
ECTO:0070068	exposure to yam via ingestion	FOODON:00003448
ECTO:0070069	exposure to sweet potato via ingestion	FOODON:00003445
ECTO:0070070	exposure to egg via ingestion	FOODON:03316061
ECTO:0070071	exposure to hotdog via ingestion	FOODON:00001009
ECTO:0070072	exposure to pork sausage via ingestion	FOODON:03311131
ECTO:0070073	exposure to chicken frankfurter via ingestion	FOODON:03310576
ECTO:0070074	exposure to turkey sausage via ingestion	FOODON:00003297
ECTO:0070075	exposure to poultry via ingestion	FOODON:03317344
ECTO:0070076	exposure to bacon (fried) via ingestion	FOODON:03310564
ECTO:0070077	exposure to bacon (baked) via ingestion	FOODON:03311588
ECTO:0070078	exposure to luncheon meat via ingestion	FOODON:03310675
ECTO:0070079	exposure to salami via ingestion	FOODON:03312067
ECTO:0070080	exposure to bologna via ingestion	FOODON:03306503
ECTO:0070081	exposure to beef sausage via ingestion	FOODON:00002958
ECTO:0070082	exposure to kielbasa via ingestion	FOODON:00002728
ECTO:0070083	exposure to meat (processed) via ingestion	FOODON:03310826
ECTO:0070084	exposure to processed meat food product via ingestion	FOODON:00001010
ECTO:0070085	exposure to ground beef via ingestion	FOODON:03310753
ECTO:0070086	exposure to beef hamburger (dish) via ingestion	FOODON:00002737
ECTO:0070087	exposure to beef (cooked) via ingestion	FOODON:03309738
ECTO:0070088	exposure to pork via ingestion	FOODON:03311610
ECTO:0070089	exposure to lamb via ingestion	FOODON:03311664
ECTO:0070090	exposure to ham (sliced, cooked) via ingestion	FOODON:03311694
ECTO:0070091	exposure to canned tuna via ingestion	FOODON:03309003
ECTO:0070092	exposure to shrimp via ingestion	FOODON:03411237
ECTO:0070093	exposure to lobster via ingestion	FOODON:00002468
ECTO:0070094	exposure to scallops via ingestion	FOODON:03411489
ECTO:0070095	exposure to tuna steak via ingestion	FOODON:00002987
ECTO:0070096	exposure to mackerel via ingestion	FOODON:03411043
ECTO:0070097	exposure to salmon via ingestion	FOODON:00003473
ECTO:0070098	exposure to sardine via ingestion	FOODON:03411558
ECTO:0070099	exposure to bluefish via ingestion	FOODON:00001659
ECTO:0070100	exposure to swordfish via ingestion	FOODON:00002307
ECTO:0070101	exposure to cod via ingestion	FOODON:03411423
ECTO:0070102	exposure to haddock (raw) via ingestion	FOODON:03308024
ECTO:0070103	exposure to halibut via ingestion	FOODON:03411532
ECTO:0070104	exposure to cold cereal via ingestion	FOODON:03316213
ECTO:0070105	exposure to cooked oatmeal via ingestion	FOODON:03310806
ECTO:0070106	exposure to cooked oat bran via ingestion	FOODON:00003774
ECTO:0070107	exposure to cooked breakfast cereal via ingestion	FOODON:03311540
ECTO:0070108	exposure to whole wheat crackers via ingestion	FOODON:03302651
ECTO:0070109	exposure to crackers via ingestion	FOODON:00002711
ECTO:0070110	exposure to white bread via ingestion	FOODON:03301055
ECTO:0070111	exposure to pita bread via ingestion	FOODON:00003060
ECTO:0070112	exposure to rye bread via ingestion	FOODON:03305210
ECTO:0070113	exposure to pumpernickel bread via ingestion	FOODON:03302357
ECTO:0070114	exposure to whole wheat bread via ingestion	FOODON:03301119
ECTO:0070115	exposure to multigrain bread via ingestion	FOODON:03302478
ECTO:0070116	exposure to bagel via ingestion	FOODON:03309554
ECTO:0070117	exposure to english muffin via ingestion	FOODON:03305833
ECTO:0070118	exposure to bread roll via ingestion	FOODON:03301931
ECTO:0070119	exposure to muffin via ingestion	FOODON:03309530
ECTO:0070120	exposure to biscuit via ingestion	FOODON:03301884
ECTO:0070121	exposure to pancake via ingestion	FOODON:03315258
ECTO:0070122	exposure to waffle via ingestion	FOODON:03315259
ECTO:0070123	exposure to brown rice via ingestion	FOODON:00003436
ECTO:0070124	exposure to white rice via ingestion	FOODON:00003787
ECTO:0070125	exposure to pasta via ingestion	FOODON:03306347
ECTO:0070126	exposure to spaghetti noodle via ingestion	FOODON:03304262
ECTO:0070127	exposure to couscous via ingestion	FOODON:03303207
ECTO:0070128	exposure to tortilla via ingestion	FOODON:03307668
ECTO:0070129	exposure to french fries via ingestion	FOODON:03301959
ECTO:0070130	exposure to potato via ingestion	FOODON:03315354
ECTO:0070131	exposure to pizza via ingestion	FOODON:03310775
ECTO:0070132	exposure to tea (decaffeinated) via ingestion	FOODON:03312068
ECTO:0070133	exposure to tea (steeped) via ingestion	FOODON:03310546
ECTO:0070134	exposure to coffee (liquid beverage) via ingestion	FOODON:03301036
ECTO:0070135	exposure to water via ingestion	FOODON:03307813
ECTO:0070136	exposure to sparkling water via ingestion	FOODON:03302269
ECTO:0070137	exposure to milk chocolate via ingestion	FOODON:03302806
ECTO:0070138	exposure to dark chocolate via ingestion	FOODON:03303588
ECTO:0070139	exposure to candy via ingestion	FOODON:03301051
ECTO:0070140	exposure to cookie via ingestion	FOODON:03301585
ECTO:0070141	exposure to brownie via ingestion	FOODON:00002562
ECTO:0070142	exposure to doughnut via ingestion	FOODON:03301938
ECTO:0070143	exposure to pastry via ingestion	FOODON:03315272
ECTO:0070144	exposure to cake via ingestion	FOODON:00001278
ECTO:0070145	exposure to pie via ingestion	FOODON:03317288
ECTO:0070146	exposure to jam via ingestion	FOODON:03309973
ECTO:0070147	exposure to jelly via ingestion	FOODON:00001888
ECTO:0070148	exposure to preserve via ingestion	FOODON:03305304
ECTO:0070149	exposure to honey via ingestion	FOODON:00001178
ECTO:0070150	exposure to syrup via ingestion	FOODON:03303225
ECTO:0070151	exposure to peanut butter via ingestion	FOODON:03306867
ECTO:0070152	exposure to potato chips via ingestion	FOODON:03301833
ECTO:0070153	exposure to pretzels via ingestion	FOODON:03303929
ECTO:0070154	exposure to peanut via ingestion	FOODON:00003206
ECTO:0070155	exposure to walnuts via ingestion	FOODON:03315233
ECTO:0070156	exposure to nuts via ingestion	FOODON:03306632
ECTO:0070157	exposure to olive oil (extra virgin) via ingestion	FOODON:00002808
ECTO:0070158	exposure to mayonnaise via ingestion	FOODON:03301440
ECTO:0070159	exposure to salad dressing via ingestion	FOODON:00001290
ECTO:0070160	exposure to aspartame via ingestion	CHEBI:2877
ECTO:0070161	exposure to sugar (granulated) via ingestion	FOODON:03301073
