iri,iri label,stressor,stressor label
ECTO:0000115,,CHEBI:26523,reactive oxygen species
ECTO:0000116,,CHEBI:18421,superoxide
ECTO:0000117,,CHEBI:26689,singlet dioxygen
ECTO:0000118,,CHEBI:61073,oxygen radical
ECTO:0000119,,CHEBI:2679,amphetamine
ECTO:0000120,,CHEBI:61051,lipid hydroperoxide
ECTO:0000121,,CHEBI:15377,water
ECTO:0000122,,CHEBI:30212,photon
ECTO:0000123,,CHEBI:18153,ethene
ECTO:0000124,,CHEBI:22152,2-cis-abscisic acid
ECTO:0000125,,CHEBI:24250,gibberellin
ECTO:0000126,,CHEBI:22921,brassinosteroid
ECTO:0000127,,CHEBI:16646,carbohydrate
ECTO:0000128,,CHEBI:17992,sucrose
ECTO:0000129,,CHEBI:18133,hexose
ECTO:0000130,,CHEBI:17234,glucose
ECTO:0000131,,CHEBI:28757,fructose
ECTO:0000132,,CHEBI:16914,salicylic acid
ECTO:0000133,,CHEBI:18292,jasmonic acid
ECTO:0000134,,CHEBI:18053,1-aminocyclopropanecarboxylic acid
ECTO:0000135,,CHEBI:50860,organic
ECTO:0000136,,CHEBI:30089,acetate
ECTO:0000137,,CHEBI:24835,inorganic molecular entity
ECTO:0000138,,CHEBI:22916,boron
ECTO:0000139,,CHEBI:16526,carbon dioxide
ECTO:0000140,,CHEBI:25213,metal cation
ECTO:0000141,,CHEBI:24875,iron cation
ECTO:0000142,,CHEBI:29033,iron(2+)
ECTO:0000143,,CHEBI:29034,iron(3+)
ECTO:0000144,,CHEBI:25155,manganese cation
ECTO:0000145,,CHEBI:63056,zinc cation
ECTO:0000146,,CHEBI:63062,aluminium cation
ECTO:0000147,,CHEBI:25516,nickel cation
ECTO:0000148,,CHEBI:49709,chlorate
ECTO:0000149,,CHEBI:37128,caesium molecular entity
ECTO:0000150,,CHEBI:17632,nitrate
ECTO:0000151,,CHEBI:25812,ozone
ECTO:0000152,,CHEBI:17029,chitin
ECTO:0000153,,CHEBI:49713,lithium(1+)
ECTO:0000154,,CHEBI:26271,proline
ECTO:0000155,,CHEBI:35352,organonitrogen compound
