iri,iri label,stressor,stressor label
ECTO:0000015,,ENVO:00010483,environmental material
ECTO:0000016,,ENVO:00002008,dust
ECTO:0000017,,ENVO:00002982,clay
ECTO:0000018,,ENVO:00002985,oil
ECTO:0000019,,ENVO:01000060,particulate matter
ECTO:0000020,,ENVO:01000155,organic material
ECTO:0000022,,ENVO:01000406,snow
ECTO:0000023,,ENVO:01000451,atmospheric carbon dioxide
ECTO:0000025,,ENVO:01000701,volcanic ash
ECTO:0000026,,ENVO:01000256,mineral material
ECTO:0000027,,ENVO:00000003,mine tailing
ECTO:0000028,,ENVO:00000134,permafrost
ECTO:0000029,,ENVO:00002001,waste water
ECTO:0000030,,ENVO:00002003,feces
ECTO:0000031,,ENVO:00002018,sewage
ECTO:0000032,,ENVO:00002057,raw primary sludge
ECTO:0000033,,ENVO:00002058,secondary sludge
ECTO:0000034,,ENVO:00002059,biosolids
ECTO:0000035,,ENVO:00002060,oil sludge
ECTO:0000036,,ENVO:00002114,contaminated sediment
ECTO:0000037,,ENVO:00002115,petroleum contaminated sediment
ECTO:0000038,,ENVO:00002116,contaminated soil
ECTO:0000039,,ENVO:00002117,creosote contaminated soil
ECTO:0000040,,ENVO:00002122,arsenic-rich mud
ECTO:0000041,,ENVO:00002142,borax leachate
ECTO:0000042,,ENVO:00002145,chromate contaminated soil
ECTO:0000043,,ENVO:00002146,xylene contaminated soil
ECTO:0000045,,ENVO:00002259,agricultural soil
ECTO:0000046,,ENVO:00002264,waste material
ECTO:0000047,,ENVO:00002266,chicken breeding waste material
ECTO:0000048,,ENVO:00002267,industrial waste material
ECTO:0000049,,ENVO:00002273,fluvisol
ECTO:0000050,,ENVO:00002274,stagnosol
ECTO:0000051,,ENVO:00002275,technosol
ECTO:0000052,,ENVO:00002276,animal waste material
ECTO:0000053,,ENVO:00002869,hay
ECTO:0000054,,ENVO:00002870,adobe
ECTO:0000055,,ENVO:00002872,bagasse
ECTO:0000056,,ENVO:00002873,organic waste material
ECTO:0000057,,ENVO:00002875,oil contaminated soil
ECTO:0000058,,ENVO:00002983,fuel oil
ECTO:0000059,,ENVO:00002984,petroleum
ECTO:0000060,,ENVO:00003030,silage
ECTO:0000061,,ENVO:00003031,animal manure
ECTO:0000062,,ENVO:00003032,fresh animal manure
ECTO:0000065,,ENVO:02000019,bodily fluid
ECTO:0000066,,ENVO:02000020,blood
ECTO:0000067,,ENVO:02000021,amniotic fluid
ECTO:0000068,,ENVO:02000022,excreta
ECTO:0000069,,ENVO:02000023,bile
ECTO:0000110,,ENVO:00010505,aerosol
ECTO:0000111,,ENVO:01000436,waterborne particulate matter
ECTO:0000112,,ENVO:01000405,respirable suspended particulate matter
ECTO:0000113,,ENVO:01000415,fine respirable suspended particulate matter
ECTO:0000114,,ENVO:01000416,ultrafine respirable suspended particulate matter
ECTO:0001007,,ENVO:00002186,contaminated water
ECTO:0001008,,ENVO:00002193,pulp-bleaching waste water
ECTO:0002314,,ENVO:01000460,asphalt
