iri,iri label,stressor,stressor label
ECTO:0000001,,NPO:1731,radiation
ECTO:0000002,,NPO:1732,electromagnetic radiation
ECTO:0000003,,NPO:1743,sound radiation
ECTO:0000004,,NPO:1733,gamma radiation
ECTO:0000005,,NPO:1734,x-ray radiation
ECTO:0000006,,NPO:1735,ultraviolet radiation
ECTO:0000007,,NPO:1736,visible light radiation
ECTO:0000008,,NPO:1737,infrared radiation
ECTO:0000009,,NPO:1738,far-infrared radiation
ECTO:0000010,,NPO:1739,mid-infrared radiation
ECTO:0000011,,NPO:1740,near-infrared radiation
ECTO:0000012,,NPO:1741,microwave radiation
ECTO:0000013,,NPO:1742,radiowave radiation
ECTO:0000014,,NPO:1744,ultrasound radiation
