iri,iri label,stressor,stressor label
,,CHEBI:24527,herbicide
,,CHEBI:24852,insecticide
,,CHEBI:24127,fungicide
,,CHEBI:33288,rodenticide
,,CHEBI:33282,antibacterial agent
,,CHEBI:38461,carbamate insecticide
,,ENVO:00002008,dust
,,ENVO:00010505,aerosol
,,ENVO:02000100,mineral dust
,,ENVO:02000103,metallic dust
,,ENVO:02000101,fibrous dust
,,ENVO:02000102,fibrous glass dust
,,CHEBI:27808,heroin
,,CHEBI:34905,paraquat
,,CHEBI:64163,diquat
,,CHEBI:16199,urea
,,CHEBI:6049,isoproturon
,,CHEBI_25710,organophosphorus compound
,,CHEBI:81728,anilofos
,,CHEBI:27744,glyphosate
,,CHEBI:18379,nitrile
,,ENVO:00002264,waste material
,,CHEBI:50249,anticoagulant
,,NCIT:C45783,noise
,,CHEBI:25944,pesticide
