iri,iri label,stressor,stressor label
,,NCIT_C18020,diagnostic procedure
,,NCIT_C17059,radiology
,,NCIT_C19187,diagnostic radiology
,,NCIT_C17952,interventional radiology
,,NCIT_C60727,radiograph
,,NCIT_C38103,chest radiography
,,NCIT_C14316,infectious agent
,,NCIT_C29886,airborne particulate matter
,,NCIT:C1751,pollutant
,,NCIT_C761,polycyclic aromatic hydrocarbons
,,NCIT:C459,medication
,,NCIT:C18270,cigarette smoking
,,NCIT:C2190,alcohol
,,NCIT:C26659,marijuana
,,NCIT:C1657,opiate
,,NCIT:C80153,cocaine
,,NCIT:C61840,methamphetamine
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
