cause,causeLabel,exposure,exposureLabel,symptom,symptomLabel,route,routeLabel
http://www.wikidata.org/entity/Q14982,methanol,http://www.wikidata.org/entity/Q21174897,methanol exposure,http://www.wikidata.org/entity/Q86,headache,http://www.wikidata.org/entity/Q1663054,ingestion
http://www.wikidata.org/entity/Q14982,methanol,http://www.wikidata.org/entity/Q21174897,methanol exposure,http://www.wikidata.org/entity/Q10874,blindness,http://www.wikidata.org/entity/Q1663054,ingestion
http://www.wikidata.org/entity/Q14982,methanol,http://www.wikidata.org/entity/Q21174897,methanol exposure,http://www.wikidata.org/entity/Q11072,Amnesia,http://www.wikidata.org/entity/Q1663054,ingestion
http://www.wikidata.org/entity/Q14982,methanol,http://www.wikidata.org/entity/Q21174897,methanol exposure,http://www.wikidata.org/entity/Q40878,diarrhea,http://www.wikidata.org/entity/Q1663054,ingestion
http://www.wikidata.org/entity/Q14982,methanol,http://www.wikidata.org/entity/Q21174897,methanol exposure,http://www.wikidata.org/entity/Q127076,vomiting,http://www.wikidata.org/entity/Q1663054,ingestion
http://www.wikidata.org/entity/Q14982,methanol,http://www.wikidata.org/entity/Q21174897,methanol exposure,http://www.wikidata.org/entity/Q130741,hallucination,http://www.wikidata.org/entity/Q1663054,ingestion
http://www.wikidata.org/entity/Q14982,methanol,http://www.wikidata.org/entity/Q21174897,methanol exposure,http://www.wikidata.org/entity/Q159557,coma,http://www.wikidata.org/entity/Q1663054,ingestion
http://www.wikidata.org/entity/Q14982,methanol,http://www.wikidata.org/entity/Q21174897,methanol exposure,http://www.wikidata.org/entity/Q183425,abdominal pain,http://www.wikidata.org/entity/Q1663054,ingestion
http://www.wikidata.org/entity/Q14982,methanol,http://www.wikidata.org/entity/Q21174897,methanol exposure,http://www.wikidata.org/entity/Q185935,mania,http://www.wikidata.org/entity/Q1663054,ingestion
http://www.wikidata.org/entity/Q14982,methanol,http://www.wikidata.org/entity/Q21174897,methanol exposure,http://www.wikidata.org/entity/Q186889,nausea,http://www.wikidata.org/entity/Q1663054,ingestion
http://www.wikidata.org/entity/Q14982,methanol,http://www.wikidata.org/entity/Q21174897,methanol exposure,http://www.wikidata.org/entity/Q209583,tachycardia,http://www.wikidata.org/entity/Q1663054,ingestion
http://www.wikidata.org/entity/Q14982,methanol,http://www.wikidata.org/entity/Q21174897,methanol exposure,http://www.wikidata.org/entity/Q217111,bradycardia,http://www.wikidata.org/entity/Q1663054,ingestion
http://www.wikidata.org/entity/Q14982,methanol,http://www.wikidata.org/entity/Q21174897,methanol exposure,http://www.wikidata.org/entity/Q254327,anorexia,http://www.wikidata.org/entity/Q1663054,ingestion
http://www.wikidata.org/entity/Q14982,methanol,http://www.wikidata.org/entity/Q21174897,methanol exposure,http://www.wikidata.org/entity/Q275419,hypotension,http://www.wikidata.org/entity/Q1663054,ingestion
http://www.wikidata.org/entity/Q14982,methanol,http://www.wikidata.org/entity/Q21174897,methanol exposure,http://www.wikidata.org/entity/Q281289,photophobia,http://www.wikidata.org/entity/Q1663054,ingestion
http://www.wikidata.org/entity/Q14982,methanol,http://www.wikidata.org/entity/Q21174897,methanol exposure,http://www.wikidata.org/entity/Q373597,hematuria,http://www.wikidata.org/entity/Q1663054,ingestion
http://www.wikidata.org/entity/Q14982,methanol,http://www.wikidata.org/entity/Q21174897,methanol exposure,http://www.wikidata.org/entity/Q476921,kidney failure,http://www.wikidata.org/entity/Q1663054,ingestion
http://www.wikidata.org/entity/Q14982,methanol,http://www.wikidata.org/entity/Q21174897,methanol exposure,http://www.wikidata.org/entity/Q570920,Tachypnea,http://www.wikidata.org/entity/Q1663054,ingestion
http://www.wikidata.org/entity/Q14982,methanol,http://www.wikidata.org/entity/Q21174897,methanol exposure,http://www.wikidata.org/entity/Q737460,visual impairment,http://www.wikidata.org/entity/Q1663054,ingestion
http://www.wikidata.org/entity/Q14982,methanol,http://www.wikidata.org/entity/Q21174897,methanol exposure,http://www.wikidata.org/entity/Q852376,seizure,http://www.wikidata.org/entity/Q1663054,ingestion
